"dose","p_eff_hat","p_eff_lcl","p_eff_ucl","r_eff_hat","r_eff_lcl","r_eff_ucl","q_eff_hat","q_eff_lcl","q_eff_ucl","p_eff_true","q_eff_true","r_eff_true","nR","eR","nI","eI","alpha_eff_true","scenario","replicate","method"
4,0.391284588487631,0.0859192056945705,0.700775002365391,0.23037691917508,2.42141703788195e-09,0.809261758512438,0.542225418975236,0.229388333617158,0.875481551561134,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",3,"hierarchical_beta"
5,0.493119658688166,0.180865290296156,0.815147963936287,0.224111362153567,1.14308403182064e-10,0.806729206686962,0.618349867176056,0.288788925188047,0.905716515631633,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",3,"hierarchical_beta"
1,0.275409735300486,0.062145518020222,0.621552921747038,0.0262404208231035,1.35192706552217e-29,0.347345606205897,0.294115767327202,0.0621455264755702,0.664788596397477,0.2,0.2,0,6,2,0,0,0.3,"sce1",4,"fixed_beta"
2,0.123043787157323,0.000123367143956131,0.424264589847402,0.115437978324884,7.203089820658e-11,0.529468784302503,0.229463664698117,0.0202678002122171,0.610084880000301,0.35,0.41,0.0923076923076923,3,0,3,1,0.3,"sce1",4,"fixed_beta"
3,0.204864089090065,0.0015462230228032,0.6516898533416,0.499106454908426,0.000589924907447131,0.934102622447534,0.630976403838353,0.222545844877518,0.942211748011865,0.35,0.455,0.161538461538461,3,0,3,3,0.3,"sce1",4,"fixed_beta"
4,0.418109393996467,0.0924312145555463,0.780407897786808,0.190188262290771,5.41157230604255e-05,0.794916736917336,0.536898256968473,0.211183151359966,0.877235898910817,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",4,"fixed_beta"
5,0.335076509018471,0.0496167219777243,0.682296839717687,0.165503715788923,0.000197790551622767,0.643228055361539,0.447680073883896,0.143626261891419,0.791561991870593,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",4,"fixed_beta"
1,0.302761296142879,0.0839555411520728,0.592881343126747,0.319325616636921,5.98339798334653e-17,0.986411031288285,0.530417855351823,0.155694096724415,0.990744054949043,0.2,0.2,0,6,2,0,0,0.3,"sce1",4,"hierarchical_beta"
2,0.174374096015682,0.000712013768532318,0.476828810082296,0.233015463922766,4.671489370973e-49,0.714033053822287,0.374543059130919,0.0700034102276022,0.761277754270947,0.35,0.41,0.0923076923076923,3,0,3,1,0.3,"sce1",4,"hierarchical_beta"
3,0.230782583396317,0.00354710549862488,0.616745026134317,0.570354054146716,1.64132326359167e-21,0.9986867017716,0.695990824499614,0.279360594846765,0.998814486064977,0.35,0.455,0.161538461538461,3,0,3,3,0.3,"sce1",4,"hierarchical_beta"
4,0.318968137706817,0.0528081050307671,0.672257825564711,0.33122582411667,1.82123556898046e-32,0.88625473408615,0.559619576307204,0.233993784838349,0.91862189507341,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",4,"hierarchical_beta"
5,0.284429869693625,0.0513075196254569,0.580312427232851,0.208706285917182,3.05388223638675e-15,0.71958344742496,0.439438514764536,0.140083883271469,0.787445044126532,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",4,"hierarchical_beta"
