"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","true_ipde_probability"
1,0.01,0.0290678530739661,0.0290678530739661,"sce4",0.3,"dose_specific",0.01
2,0.05,0.0671111838879958,0.0523704434743947,"sce4",0.3,"dose_specific",0.053
3,0.1,0.125837921398825,0.0968445497163595,"sce4",0.3,"dose_specific",0.115
4,0.2,0.186879374555646,0.174606391183125,"sce4",0.3,"dose_specific",0.23
5,0.4,0.307007400497038,0.39553071890166,"sce4",0.3,"dose_specific",0.46
1,0.01,0.0230038736710519,0.0230038736710519,"sce4",0.6,"dose_specific",0.01
2,0.05,0.059897235819719,0.0701125640472962,"sce4",0.6,"dose_specific",0.056
3,0.1,0.0885147926214347,0.116213047649101,"sce4",0.6,"dose_specific",0.13
4,0.2,0.209414618548317,0.206637246309725,"sce4",0.6,"dose_specific",0.26
5,0.4,0.360222639268092,0.41274142220957,"sce4",0.6,"dose_specific",0.52
1,0.01,0.0202730743607839,0.0202730743607839,"sce4",0.9,"dose_specific",0.01
2,0.05,0.0753047514386101,0.0714079476073916,"sce4",0.9,"dose_specific",0.059
3,0.1,0.116947683437112,0.103424054662138,"sce4",0.9,"dose_specific",0.145
4,0.2,0.197617329806572,0.229616726107448,"sce4",0.9,"dose_specific",0.29
5,0.4,0.335041777762855,0.487602482098735,"sce4",0.9,"dose_specific",0.58
1,0.1,0.0936217034931779,0.0936217034931779,"sce5",0,"dose_specific",0.1
2,0.2,0.188902627965845,0.164723870558911,"sce5",0,"dose_specific",0.2
3,0.4,0.309275978285913,0.327074919959057,"sce5",0,"dose_specific",0.4
4,0.45,0.387004993800251,0.399031083811209,"sce5",0,"dose_specific",0.45
5,0.5,0.395218675782653,0.386249812721081,"sce5",0,"dose_specific",0.5
1,0.1,0.0895008685580541,0.0895008685580541,"sce5",0.3,"dose_specific",0.1
2,0.2,0.175315820765226,0.208764524235683,"sce5",0.3,"dose_specific",0.23
3,0.4,0.338759626979065,0.382252495236025,"sce5",0.3,"dose_specific",0.46
4,0.45,0.379937734824926,0.45379634114724,"sce5",0.3,"dose_specific",0.57
5,0.5,0.384665908627989,0.495905496252096,"sce5",0.3,"dose_specific",0.635
1,0.1,0.103469872381221,0.103469872381221,"sce5",0.6,"dose_specific",0.1
2,0.2,0.143542318820927,0.189527372952954,"sce5",0.6,"dose_specific",0.26
3,0.4,0.315495290262258,0.439002905736286,"sce5",0.6,"dose_specific",0.52
4,0.45,0.370027501216188,0.557239641926076,"sce5",0.6,"dose_specific",0.69
5,0.5,0.419773894095772,0.624894031834981,"sce5",0.6,"dose_specific",0.77
1,0.1,0.109347370741096,0.109347370741096,"sce5",0.9,"dose_specific",0.1
2,0.2,0.192196357566156,0.25524015036659,"sce5",0.9,"dose_specific",0.29
3,0.4,0.294790733629978,0.45490535459521,"sce5",0.9,"dose_specific",0.58
4,0.45,0.366794040015774,0.65220873755175,"sce5",0.9,"dose_specific",0.81
5,0.5,0.463118735431578,0.69479127582116,"sce5",0.9,"dose_specific",0.905
