"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0.3,0.05,0.33325246106591,0.0819383369943271,31.5862017770232,0.124877442791868,58.5,18.6,11.532,7.748,4.011,19.482,12.359,710.610670238794,67.3,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0.35,0.06,0.386609451608775,0.266745284441965,40.5403390021669,0.124877442791868,17.2,8.8,4.584,3.543,1.856,19.482,12.359,710.610670238794,67.3,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0.4,0.07,0.481514957145951,0.383131961742093,43.7273194186875,0.124877442791868,8.6,0.9,2.172,1.684,0.811,19.482,12.359,710.610670238794,67.3,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0.45,0.08,0.525148226119683,0.448638233767296,45.9123649812505,0.124877442791868,4.1,0.1,0.915,0.718,0.352,19.482,12.359,710.610670238794,67.3,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0.5,0.09,0.607390391640828,0.484307216701376,44.7628173364494,0.124877442791868,0.6,0,0.279,0.221,0.093,19.482,12.359,710.610670238794,67.3,1000
2,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0.02,0.2,0.0392904401594843,0.190026037465035,49.8299446415227,0.123350625557299,0.4,31.4,7.347,5.149,2.66,29.997,17.912,1080.03414757293,0.1,1000
2,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0.06,0.2,0.060150738032628,0.196459776984455,49.3815570977622,0.123350625557299,1.7,24.3,6.957,5.269,3.032,29.997,17.912,1080.03414757293,0.1,1000
2,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0.09,0.2,0.11281335188788,0.211122517515447,48.1548169754116,0.123350625557299,5,19.3,5.859,4.525,2.451,29.997,17.912,1080.03414757293,0.1,1000
2,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0.14,0.2,0.144732291075755,0.224590538172105,47.6861406472961,0.123350625557299,11.7,15.1,5.514,4.317,2.295,29.997,17.912,1080.03414757293,0.1,1000
2,16,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0.26,0.2,0.220286788991197,0.270684751695066,47.4296135420561,0.123350625557299,81.2,9.8,4.32,3.451,1.647,29.997,17.912,1080.03414757293,0.1,1000
