"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.3,0.05,0.3439,0.0803,31.0656,0.1389,NA,NA,61.4,11.4,11.361,11.361,0,18.309,18.309,10.4,10.4,77.6,1014.8089,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.35,0.06,0.3977,0.271,40.3528,0.1389,NA,NA,17,7.4,4.37,4.37,0,18.309,18.309,10.4,10.4,77.6,1014.8089,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.4,0.07,0.4927,0.3711,42.5592,0.1389,NA,NA,9.2,3,1.784,1.784,0,18.309,18.309,10.4,10.4,77.6,1014.8089,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.45,0.08,0.5362,0.4418,45.0638,0.1389,NA,NA,1.5,0.5,0.661,0.661,0,18.309,18.309,10.4,10.4,77.6,1014.8089,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.5,0.09,0.6176,0.4861,44.4598,0.1389,NA,NA,0.5,0.1,0.133,0.133,0,18.309,18.309,10.4,10.4,77.6,1014.8089,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.02,0.2,0.0421,0.2129,51.0893,0.1372,NA,NA,0.1,32.5,7.672,7.672,0,29.979,29.979,0,0,0.1,1663.3896,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.06,0.2,0.0639,0.2081,49.9315,0.1372,NA,NA,0,25.4,6.879,6.879,0,29.979,29.979,0,0,0.1,1663.3896,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.09,0.2,0.1182,0.206,47.6317,0.1372,NA,NA,0.6,15.8,5.606,5.606,0,29.979,29.979,0,0,0.1,1663.3896,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.14,0.2,0.1508,0.2213,47.2481,0.1372,NA,NA,6.7,16.4,5.572,5.572,0,29.979,29.979,0,0,0.1,1663.3896,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.26,0.2,0.2274,0.2384,45.209,0.1372,NA,NA,92.6,9.8,4.25,4.25,0,29.979,29.979,0,0,0.1,1663.3896,1000,1000
