"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","Scenario_Group","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","alpha_crm",NA,NA,"alpha_crm",NA,0.6,0,0.0714,28,30,2,1,1,0,4,0.35,0.53,NA,NA,NA,NA,15.3,3.9915,3.9915,1.205,29.2005,23.373,5.95,340.0285,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","alpha_crm",NA,NA,"alpha_crm",NA,0.6,0,0.0714,28,30,2,1,1,0,5,0.45,0.66,NA,NA,NA,NA,22.65,4.926,4.926,0.796,29.2005,23.373,5.95,340.0285,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","ipcrm",NA,NA,"ipcrm",NA,0.6,0,0.0714,28,30,2,1,1,0,1,0.15,0.15,NA,NA,NA,NA,9.9,6.0915,6.0915,0,29.5395,23.5745,5.3,342.8658,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","ipcrm",NA,NA,"ipcrm",NA,0.6,0,0.0714,28,30,2,1,1,0,2,0.2,0.29,NA,NA,NA,NA,17.9,6.8295,6.8295,2.5025,29.5395,23.5745,5.3,342.8658,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","ipcrm",NA,NA,"ipcrm",NA,0.6,0,0.0714,28,30,2,1,1,0,3,0.3,0.42,NA,NA,NA,NA,24.3,6.6765,6.6765,1.1945,29.5395,23.5745,5.3,342.8658,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","ipcrm",NA,NA,"ipcrm",NA,0.6,0,0.0714,28,30,2,1,1,0,4,0.35,0.53,NA,NA,NA,NA,18.25,4.4685,4.4685,1.3055,29.5395,23.5745,5.3,342.8658,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","ipcrm",NA,NA,"ipcrm",NA,0.6,0,0.0714,28,30,2,1,1,0,5,0.45,0.66,NA,NA,NA,NA,24.35,5.4735,5.4735,0.9625,29.5395,23.5745,5.3,342.8658,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","crm_r_fixed",NA,NA,"fixed",NA,0.9,0,0.02,28,30,2,1,1,0,1,0.15,0.15,NA,NA,NA,NA,26.85,9.558,9.558,0,29.1585,22.2045,5.5,1217.7034,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","crm_r_fixed",NA,NA,"fixed",NA,0.9,0,0.02,28,30,2,1,1,0,2,0.2,0.335,NA,NA,NA,NA,19.45,7.5885,7.5885,3.4695,29.1585,22.2045,5.5,1217.7034,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","crm_r_fixed",NA,NA,"fixed",NA,0.9,0,0.02,28,30,2,1,1,0,3,0.3,0.48,NA,NA,NA,NA,30.55,6.501,6.501,0.9385,29.1585,22.2045,5.5,1217.7034,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","crm_r_fixed",NA,NA,"fixed",NA,0.9,0,0.02,28,30,2,1,1,0,4,0.35,0.62,NA,NA,NA,NA,14.35,4.1865,4.1865,1.9235,29.1585,22.2045,5.5,1217.7034,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","crm_r_fixed",NA,NA,"fixed",NA,0.9,0,0.02,28,30,2,1,1,0,5,0.45,0.765,NA,NA,NA,NA,3.3,1.3245,1.3245,0.6225,29.1585,22.2045,5.5,1217.7034,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.02,28,30,2,1,1,0,1,0.15,0.15,NA,NA,NA,NA,24.35,8.5305,8.5305,0,29.163,22.2515,5.75,1218.9333,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.02,28,30,2,1,1,0,2,0.2,0.335,NA,NA,NA,NA,14.9,6.4905,6.4905,3.3625,29.163,22.2515,5.75,1218.9333,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.02,28,30,2,1,1,0,3,0.3,0.48,NA,NA,NA,NA,30.9,6.957,6.957,0.9195,29.163,22.2515,5.75,1218.9333,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC2",2,2,"base_example",3,1,"CRM","random",NA,NA,"random",NA,0.9,0,0.02,28,30,2,1,1,0,4,0.35,0.62,NA,NA,NA,NA,11.85,4.0995,4.0995,1.9745,29.163,22.2515,5.75,1218.9333,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
