"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",17.6638,18.3561,18.6903,17.5117,23.4311,NA,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",7.9434,6.1149,5.6024,4.2666,5.2965,NA,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.2173,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,352.8053,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,59.075,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.8457,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,18.9821,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.5932,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,9.7849,NA,10000,9830,170,9830,983000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",17.2224,18.3856,18.6429,17.3068,24.0656,NA,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",7.5296,6.161,5.5926,4.2692,5.6715,NA,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.2642,NA,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.4425,10000,9900,100,9900,990000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,58.564,NA,10000,9900,100,9900,990000
