"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",17.8242,18.697,19.2434,17.8769,21.9196,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",8.6062,6.207,5.6641,4.198,4.494,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.0694,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.0144,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,50.0013,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,11.1266,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,22.8869,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.5453,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,11.4975,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",17.2032,18.5155,19.1843,17.6249,23.1228,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",8.1458,6.2135,5.6323,4.1868,5.0097,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.1438,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,354.26,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,49.8834,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,10.9997,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,24.4274,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,7.2436,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,10.9449,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",15.6481,17.5809,18.1275,17.8525,25.7123,NA,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",8.1233,6.0214,5.2487,4.1796,5.5458,NA,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.2219,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.7675,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,48.9576,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,10.9329,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,27.9662,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,7.7268,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,10.459,NA,10000,7340,2660,7340,734000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",13.1441,19.7101,18.734,19.6124,26.4649,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",6.0504,7.3202,5.6945,4.7102,5.8584,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.8728,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,359.538,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,49.7916,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,10.9355,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,32.817,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,9.454,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,9.2441,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",20.9929,18.9286,19.4639,16.845,19.1081,NA,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",9.2444,6.3739,5.5659,4.0287,3.9316,NA,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.9689,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,352.2353,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,50.4542,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,11.3604,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,17.1567,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,5.4806,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,12.3035,NA,10000,9920,80,9920,992000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",19.879,18.7204,19.3952,16.719,20.734,NA,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",8.529,6.4216,5.5744,4.102,4.5354,NA,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,352.9397,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,50.5928,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,11.1717,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,19.406,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.4618,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_random",NA,NA,"random",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,11.5289,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",18.274,17.6809,18.359,17.034,23.4741,NA,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",8.5469,6.2535,5.178,4.0758,5.0647,NA,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.1016,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,352.9721,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,50.4008,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,11.2369,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,22.793,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.8451,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,11.037,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",15.3222,20.1173,18.9711,18.8075,24.2812,NA,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",6.4114,7.5925,5.6242,4.58,5.4021,NA,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.7484,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,358.4224,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,51.6618,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,11.2896,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,28.0338,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,8.6484,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,9.6721,NA,10000,9970,30,9970,997000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",24.216,18.8824,19.6653,15.7976,16.5428,NA,NA,10000,9960,40,9960,996000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.6,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",9.8893,6.4887,5.4577,3.8535,3.4301,NA,NA,10000,9960,40,9960,996000
