"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.0378,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,354.3344,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,34.2926,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.4358,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,30.2193,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,7.1541,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,13.2662,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",12.1283,19.9489,18.5853,19.6577,27.0238,NA,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",6.452,7.6585,5.6199,4.4435,5.343,NA,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.6641,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,358.7821,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,35.4786,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.6533,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,39.1012,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,9.5457,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,11.3178,NA,10000,8690,1310,8690,869000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",25.1531,22.6586,20.2085,14.1275,11.9902,NA,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",11.24,6.8379,5.2306,3.2423,2.3022,NA,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.8906,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,353.0584,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,33.7581,NA,10000,9940,60,9940,994000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.3731,NA,10000,9940,60,9940,994000
