"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,2,1,1,1,0.07,0.07,0.0986,NA,NA,NA,0.0517,3.1938,3.1938,0,29.9721,22.2233,0.1034,351.631,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,2,1,1,2,0.12,0.183,0.1216,NA,NA,NA,2.584,4.3426,4.3426,2.9307,29.9721,22.2233,0.1034,351.631,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,2,1,1,3,0.17,0.278,0.1841,NA,NA,NA,9.8708,5.0496,5.0496,0.847,29.9721,22.2233,0.1034,351.631,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,2,1,1,4,0.22,0.373,0.2242,NA,NA,NA,26.9767,6.169,6.169,2.801,29.9721,22.2233,0.1034,351.631,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,0.9,0,0.0714,28,2,1,1,5,0.3,0.498,0.319,NA,NA,NA,60.4134,11.2171,11.2171,1.17,29.9721,22.2233,0.1034,351.631,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0.9,0,0.0714,28,3,1,1,1,0.07,0.07,0.1084,0,NA,NA,0.1034,4.3535,4.3535,0,29.9473,18.814,0.2067,329.5959,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0.9,0,0.0714,28,3,1,1,2,0.12,0.183,0.1473,NA,NA,NA,7.0284,5.1411,5.1411,3.7085,29.9473,18.814,0.2067,329.5959,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0.9,0,0.0714,28,3,1,1,3,0.17,0.278,0.2305,NA,NA,NA,22.3773,6.9349,6.9349,3.4481,29.9473,18.814,0.2067,329.5959,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0.9,0,0.0714,28,3,1,1,4,0.22,0.373,0.2747,NA,NA,NA,36.6925,6.9705,6.9705,1.7659,29.9473,18.814,0.2067,329.5959,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0.9,0,0.0714,28,3,1,1,5,0.3,0.498,0.3682,NA,NA,NA,33.5917,6.5473,6.5473,2.2109,29.9473,18.814,0.2067,329.5959,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
