"Scenario","True_MTD","Model","Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
6,2,"CRM","crm_level",45,3,0.9,1.2,29.9498,19.9108,10.039
6,2,"CRM","crm_level",45,3,1.2,1.5,19.9108,14.6682,5.2426
6,2,"CRM","crm_alpha_crm",45,3,0,0.3,52.0357,46.8489,5.1868
6,2,"CRM","crm_alpha_crm",45,3,0.3,0.6,46.8489,38.6503,8.1986
6,2,"CRM","crm_alpha_crm",45,3,0.6,0.9,38.6503,32.7384,5.9119
6,2,"CRM","crm_alpha_crm",45,3,0.9,1.2,32.7384,23.9264,8.812
6,2,"CRM","crm_alpha_crm",45,3,1.2,1.5,23.9264,16.7875,7.1389
6,2,"CRM","crm_cumu_crm",45,3,0.6,0.9,54.6012,49.5817,5.0195
6,2,"CRM","crm_cumu_crm",45,3,0.9,1.2,49.5817,44.3949,5.1868
6,2,"CRM","crm_cumu_crm",45,3,1.2,1.5,44.3949,38.0926,6.3023
7,4,"CRM","crm_fixed",45,2,0.6,0.9,54.3224,46.4584,7.864
7,4,"CRM","crm_fixed",45,2,1.2,1.5,41.9409,36.1963,5.7446
7,4,"CRM","crm_random",45,2,0.9,1.2,51.478,46.2354,5.2426
7,4,"CRM","crm_random",45,2,1.2,1.5,46.2354,39.5984,6.637
7,4,"CRM","crm_level",45,2,0.9,1.2,52.9281,47.0719,5.8562
7,4,"CRM","crm_fixed",45,3,0.6,0.9,56.7764,50.0837,6.6927
7,4,"CRM","crm_fixed",45,3,0.9,1.2,50.0837,43.4467,6.637
7,4,"CRM","crm_fixed",45,3,1.2,1.5,43.4467,35.1924,8.2543
7,4,"CRM","crm_random",45,3,1.2,1.5,50.251,41.0485,9.2025
7,4,"CRM","crm_level",45,3,0.9,1.2,56.1629,49.6933,6.4696
7,4,"CRM","crm_level",45,3,1.2,1.5,49.6933,42.5544,7.1389
8,3,"CRM","crm_fixed",45,2,0,0.3,29.169,23.4802,5.6888
8,3,"CRM","crm_fixed",45,2,0.3,0.6,23.4802,18.3491,5.1311
8,3,"CRM","crm_fixed",45,2,0.6,0.9,18.3491,12.493,5.8561
8,3,"CRM","crm_random",45,2,0.6,0.9,23.3129,16.1182,7.1947
8,3,"CRM","crm_level",45,2,0.6,0.9,22.8667,17.1779,5.6888
8,3,"CRM","crm_alpha_crm",45,2,0.6,0.9,24.5399,18.6838,5.8561
8,3,"CRM","crm_fixed",45,3,0,0.3,29.3921,21.6397,7.7524
