"Scenario","True_MTD","Model","Method","CRM_r_model","CFO_Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
4,5,"CRM","crm_fixed","fixed",NA,30,2,0,0.3,35.1924,26.5477,8.6447
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,3,0.6,0.9,44.5622,35.9175,8.6447
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.3,0.6,39.9888,31.3441,8.6447
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,0.6,0.9,45.343,36.754,8.58900000000001
4,5,"CFO","cfo_pride",NA,"pride",45,2,0,0.6,34.077,25.488,8.589
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,0,0.3,49.5259,40.937,8.5889
4,5,"CRM","crm_level","level",NA,45,2,0.3,0.6,34.4674,25.9342,8.5332
4,5,"CRM","crm_random","random",NA,30,3,0.3,0.6,32.0692,23.5917,8.4775
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,0.3,0.6,52.9281,44.5064,8.4217
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,0,0.3,64.1383,55.7167,8.4216
4,5,"CFO","cfo_pride",NA,"pride",30,2,0.9,1.2,8.7563,0.3904,8.3659
4,5,"CRM","crm_random","random",NA,45,3,0.6,0.9,25.0976,16.7317,8.3659
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,0.9,1.2,36.754,28.3882,8.3658
4,5,"CRM","crm_random","random",NA,30,3,0,0.3,40.3235,32.0692,8.2543
4,5,"CRM","crm_fixed","fixed",NA,45,2,0.3,0.6,28.3324,20.1339,8.1985
4,5,"CRM","crm_random","random",NA,45,3,0.3,0.6,33.2404,25.0976,8.1428
4,5,"CFO","cfo_pride",NA,"pride",45,3,0.3,0.6,30.8979,22.7552,8.1427
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,1.2,1.5,28.3882,20.4685,7.9197
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.6,0.9,33.2962,25.4322,7.864
4,5,"CRM","crm_random","random",NA,30,2,0,0.3,39.6542,31.9018,7.7524
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,3,1.2,1.5,30.3402,22.6436,7.6966
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0.6,0.9,32.5153,24.9861,7.5292
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,0,0.3,60.4573,52.9281,7.5292
4,5,"CRM","crm_level","level",NA,30,2,0,0.3,40.1562,32.6827,7.4735
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,3,0,0.3,61.4055,53.9877,7.41780000000001
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0,0.3,46.2354,38.8176,7.4178
4,5,"CFO","cfo_pride",NA,"pride",30,3,0.3,0.6,29.894,22.4763,7.4177
4,5,"CRM","crm_fixed","fixed",NA,45,3,0.9,1.5,10.0948,2.6771,7.4177
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,2,0.6,0.9,43.7814,36.4194,7.36199999999999
4,5,"CRM","crm_level","level",NA,45,3,0.6,0.9,23.5917,16.2298,7.3619
4,5,"CRM","crm_fixed","fixed",NA,30,3,0.9,1.5,10.2064,2.9559,7.2505
4,5,"CRM","crm_fixed","fixed",NA,45,3,0.6,0.9,17.3452,10.0948,7.2504
4,5,"CFO","cfo_pride",NA,"pride",30,2,0.3,0.6,29.9498,22.8109,7.1389
4,5,"CRM","crm_fixed","fixed",NA,30,2,0.3,0.6,26.5477,19.5204,7.0273
4,5,"CRM","crm_random","random",NA,45,2,0.3,0.6,34.077,27.1054,6.9716
4,5,"CRM","crm_level","level",NA,30,3,0.6,0.9,22.4205,15.5047,6.9158
4,5,"CRM","crm_level","level",NA,45,3,0.9,1.2,16.2298,9.4813,6.7485
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,0.9,1.2,25.99,19.2415,6.7485
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.9,1.2,25.4322,18.7395,6.6927
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,2,0,0.3,56.7764,50.1952,6.5812
4,5,"CRM","crm_random","random",NA,45,2,0.6,0.9,27.1054,20.5243,6.5811
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,0.9,1.2,38.5388,32.0134,6.5254
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.6,0.9,31.3441,24.8187,6.5254
4,5,"CRM","crm_level","level",NA,45,2,0.6,0.9,25.9342,19.4646,6.4696
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,2,0.3,0.6,50.1952,43.7814,6.4138
4,5,"CRM","crm_level","level",NA,30,2,0.3,0.6,32.6827,26.3246,6.3581
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0.3,0.6,38.8176,32.5153,6.3023
4,5,"CRM","crm_level","level",NA,30,2,0.6,0.9,26.3246,20.0781,6.2465
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,1.2,1.5,32.0134,25.7669,6.2465
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,0.6,0.9,32.1807,25.99,6.1907
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,2,1.2,1.5,31.5114,25.3207,6.1907
4,5,"CRM","crm_fixed","fixed",NA,45,2,0.6,0.9,20.1339,13.9989,6.135
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,1.2,1.5,19.2415,13.1623,6.0792
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,1.2,1.5,19.5761,13.5527,6.0234
4,5,"CRM","crm_random","random",NA,30,3,0.9,1.2,18.7395,12.7161,6.0234
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,1.2,1.5,18.7395,12.7161,6.0234
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,45,2,0.6,0.9,44.5064,38.5388,5.9676
4,5,"CRM","crm_fixed","fixed",NA,30,3,0.6,0.9,16.0067,10.2064,5.8003
4,5,"CFO","cfo_pride",NA,"pride",45,2,0.3,0.6,31.2326,25.488,5.7446
4,5,"CRM","crm_cumu_crm","cumu_crm",NA,30,3,0.9,1.2,35.9175,30.3402,5.5773
4,5,"CRM","crm_fixed","fixed",NA,30,2,0.6,0.9,19.5204,14.0547,5.4657
4,5,"CRM","crm_random","random",NA,30,2,1.2,1.5,16.9548,11.6007,5.3541
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,1.2,1.5,19.7992,14.5008,5.2984
4,5,"CRM","crm_random","random",NA,30,2,0.6,0.9,26.9381,21.6397,5.2984
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.9,1.2,24.8187,19.5761,5.2426
4,5,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0.9,1.2,24.9861,19.7992,5.1869
4,5,"CRM","crm_fixed","fixed",NA,30,2,0.9,1.2,14.0547,9.0351,5.0196
5,2,"CRM","crm_fixed","fixed",NA,45,3,0.3,1.5,37.2002,14.8912,22.309
5,2,"CRM","crm_fixed","fixed",NA,45,2,0.3,1.5,35.6944,15.5605,20.1339
5,2,"CRM","crm_fixed","fixed",NA,45,3,0.6,1.5,35.0251,14.8912,20.1339
5,2,"CRM","crm_fixed","fixed",NA,45,3,0,1.5,34.4674,14.8912,19.5762
5,2,"CRM","crm_fixed","fixed",NA,45,2,0,1.5,34.4674,15.5605,18.9069
5,2,"CFO","cfo_pride",NA,"pride",45,3,0.9,1.5,27.1612,8.7563,18.4049
5,2,"CRM","crm_fixed","fixed",NA,45,2,0.6,1.5,33.6866,15.5605,18.1261
5,2,"CRM","crm_fixed","fixed",NA,30,3,0.3,1.5,34.7462,18.0145,16.7317
5,2,"CFO","cfo_pride",NA,"pride",30,3,0.9,1.5,26.5477,9.9833,16.5644
5,2,"CRM","crm_fixed","fixed",NA,30,3,0.6,1.5,33.8539,18.0145,15.8394
5,2,"CRM","crm_fixed","fixed",NA,45,3,0.9,1.5,30.7306,14.8912,15.8394
5,2,"CRM","crm_fixed","fixed",NA,30,2,0.3,1.5,33.3519,17.6241,15.7278
5,2,"CRM","crm_level","level",NA,45,3,0.3,1.5,36.4752,21.0262,15.449
5,2,"CRM","crm_random","random",NA,45,2,0.3,1.5,35.304,20.4685,14.8355
5,2,"CRM","crm_random","random",NA,45,3,0.3,1.5,35.304,20.4685,14.8355
5,2,"CRM","crm_fixed","fixed",NA,45,2,0.9,1.5,30.2844,15.5605,14.7239
5,2,"CRM","crm_fixed","fixed",NA,30,2,0.6,1.5,32.2365,17.6241,14.6124
5,2,"CRM","crm_level","level",NA,45,3,0.6,1.5,35.304,21.0262,14.2778
5,2,"CRM","crm_level","level",NA,45,2,0.3,1.5,34.7462,20.6358,14.1104
5,2,"CFO","cfo_pride",NA,"pride",45,3,0.9,1.2,27.1612,13.0508,14.1104
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.3,1.5,33.7981,19.855,13.9431
5,2,"CRM","crm_fixed","fixed",NA,45,3,0.3,1.2,37.2002,23.3129,13.8873
5,2,"CRM","crm_random","random",NA,45,3,0.6,1.5,34.3001,20.4685,13.8316
5,2,"CRM","crm_fixed","fixed",NA,30,2,0,1.5,31.2326,17.6241,13.6085
5,2,"CFO","cfo_pride",NA,"pride",30,3,0.9,1.2,26.5477,13.1065,13.4412
5,2,"CRM","crm_fixed","fixed",NA,45,2,0.3,1.2,35.6944,22.6994,12.995
5,2,"CRM","crm_random","random",NA,45,3,0,1.5,33.3519,20.4685,12.8834
5,2,"CRM","crm_level","level",NA,45,2,0.6,1.5,33.3519,20.6358,12.7161
5,2,"CRM","crm_fixed","fixed",NA,30,3,0,1.5,30.7306,18.0145,12.7161
5,2,"CRM","crm_random","random",NA,45,2,0,1.5,32.9057,20.4685,12.4372
5,2,"CRM","crm_level","level",NA,30,3,0.6,1.5,33.9096,21.9743,11.9353
5,2,"CFO","cfo_pride",NA,"pride",45,2,0.9,1.5,20.58,8.6447,11.9353
5,2,"CRM","crm_random","random",NA,45,2,0.6,1.5,32.4038,20.4685,11.9353
5,2,"CRM","crm_level","level",NA,45,2,0.9,1.5,32.5153,20.6358,11.8795
5,2,"CRM","crm_fixed","fixed",NA,45,2,0,1.2,34.4674,22.6994,11.768
5,2,"CRM","crm_fixed","fixed",NA,45,3,0.6,1.2,35.0251,23.3129,11.7122
5,2,"CRM","crm_level","level",NA,45,2,0,1.5,32.348,20.6358,11.7122
5,2,"CRM","crm_random","random",NA,30,3,0.6,1.5,34.802,23.4244,11.3776
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.3,1.5,33.1288,21.7513,11.3775
5,2,"CRM","crm_fixed","fixed",NA,30,3,0.3,1.2,34.7462,23.4244,11.3218
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.6,1.5,31.0653,19.855,11.2103
5,2,"CRM","crm_random","random",NA,45,2,0.3,1.2,35.304,24.1495,11.1545
5,2,"CRM","crm_fixed","fixed",NA,45,3,0,1.2,34.4674,23.3129,11.1545
5,2,"CRM","crm_random","random",NA,45,3,0.9,1.5,31.5672,20.4685,11.0987
5,2,"CRM","crm_random","random",NA,30,2,0.6,1.5,31.9018,20.8589,11.0429
5,2,"CRM","crm_fixed","fixed",NA,45,2,0.6,1.2,33.6866,22.6994,10.9872
5,2,"CRM","crm_level","level",NA,45,3,0.9,1.5,32.0134,21.0262,10.9872
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.6,1.5,32.6827,21.7513,10.9314
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.9,1.5,30.7306,19.855,10.8756
5,2,"CRM","crm_level","level",NA,30,3,0.3,1.5,32.7384,21.9743,10.7641
5,2,"CRM","crm_level","level",NA,45,3,0,1.5,31.6788,21.0262,10.6526
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0,1.5,30.4518,19.855,10.5968
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,0.6,1.5,32.4596,21.9743,10.4853
5,2,"CRM","crm_fixed","fixed",NA,30,3,0.6,1.2,33.8539,23.4244,10.4295
5,2,"CRM","crm_level","level",NA,30,2,0.6,1.5,32.2365,21.807,10.4295
5,2,"CRM","crm_fixed","fixed",NA,30,2,0.3,1.2,33.3519,23.034,10.3179
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0.6,1.5,30.6191,20.3569,10.2622
5,2,"CFO","cfo_pride",NA,"pride",30,2,0.9,1.5,19.2973,9.1467,10.1506
5,2,"CRM","crm_random","random",NA,30,2,0.3,1.5,30.8979,20.8589,10.039
5,2,"CRM","crm_level","level",NA,30,2,0.3,1.5,31.7345,21.807,9.9275
5,2,"CRM","crm_fixed","fixed",NA,30,3,0.9,1.5,27.8862,18.0145,9.8717
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.9,1.5,31.5672,21.7513,9.8159
5,2,"CRM","crm_random","random",NA,45,2,0.9,1.5,30.1729,20.4685,9.7044
5,2,"CRM","crm_random","random",NA,45,3,0.3,1.2,35.304,25.7111,9.5929
5,2,"CRM","crm_random","random",NA,30,3,0.3,1.5,32.9615,23.4244,9.5371
5,2,"CRM","crm_fixed","fixed",NA,30,2,0.9,1.5,27.1054,17.6241,9.4813
5,2,"CRM","crm_fixed","fixed",NA,30,2,0.6,1.2,32.2365,23.034,9.2025
5,2,"CRM","crm_random","random",NA,30,2,0,1.5,30.0056,20.8589,9.1467
5,2,"CRM","crm_level","level",NA,30,3,0.9,1.5,30.7864,21.9743,8.8121
5,2,"CRM","crm_random","random",NA,45,2,0,1.2,32.9057,24.1495,8.7562
5,2,"CRM","crm_random","random",NA,45,3,0.6,1.2,34.3001,25.7111,8.589
5,2,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0.3,1.5,28.8344,20.3569,8.4775
5,2,"CRM","crm_level","level",NA,45,3,0.3,1.2,36.4752,27.9978,8.4774
5,2,"CRM","crm_fixed","fixed",NA,45,3,1.2,1.5,23.3129,14.8912,8.4217
5,2,"CRM","crm_random","random",NA,45,2,0.6,1.2,32.4038,24.1495,8.2543
5,2,"CRM","crm_fixed","fixed",NA,30,2,0,1.2,31.2326,23.034,8.1986
5,2,"CRM","crm_level","level",NA,45,2,0.3,1.2,34.7462,26.6592,8.087
