"Scenario","True_MTD","Model","Method","CRM_r_model","CFO_Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
2,4,"CRM","crm_level","level",NA,45,2,0.3,1.2,26.3099,12.2074,14.1025
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,30,3,0.3,1.5,26.6444,12.6533,13.9911
2,4,"CRM","crm_random","random",NA,45,2,0.3,1.2,26.2542,12.2631,13.9911
2,4,"CRM","crm_level","level",NA,45,2,0,0.9,29.8774,15.8863,13.9911
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.3,1.2,28.2051,14.2698,13.9353
2,4,"CRM","crm_random","random",NA,45,3,0,0.9,29.0412,15.1059,13.9353
2,4,"CRM","crm_random","random",NA,30,3,0.3,1.5,23.4671,9.5318,13.9353
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.6,1.5,24.5819,10.7023,13.8796
2,4,"CRM","crm_random","random",NA,30,3,0,1.2,26.3657,12.4861,13.8796
2,4,"CRM","crm_fixed","fixed",NA,30,3,0.3,1.2,22.5753,8.8629,13.7124
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,30,2,0.3,1.5,24.2475,10.6466,13.6009
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.3,1.2,28.6511,15.3289,13.3222
2,4,"CRM","crm_fixed","fixed",NA,45,3,0.6,1.5,17.2241,3.9576,13.2665
2,4,"CRM","crm_level","level",NA,45,2,0.6,1.5,21.9064,8.8071,13.0993
2,4,"CRM","crm_cumu_crm","cumu_crm",NA,45,3,0.6,1.5,31.0479,18.0045,13.0434
2,4,"CRM","crm_fixed","fixed",NA,30,3,0,0.9,25.641,12.709,12.932
2,4,"CRM","crm_fixed","fixed",NA,30,2,0.6,1.5,17.5028,4.8495,12.6533
2,4,"CRM","crm_random","random",NA,45,3,0.6,1.5,20.903,8.3612,12.5418
