"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,1.5,0,0.0714,28,30,1,1,1,4,0.14,0.275,0.1775,NA,NA,NA,13.8162,5.4033,5.4033,0,30,30,0,437.6307,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_cumu_crm",NA,NA,"cumu_crm",NA,1.5,0,0.0714,28,30,1,1,1,5,0.26,0.47,0.2579,NA,NA,NA,85.3482,14.8613,14.8613,0,30,30,0,437.6307,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,20,30,35,45","0.62828086,0.83770782,1.25656172,1.46598868,1.88484259",-2.8,2,1,2.5,1.6,1,0
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,1.5,0,0.0714,28,30,2,1,1,1,0.02,0.02,0.0639,0,NA,NA,0,3.2908,3.2908,0,30,22.1655,0,349.4328,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,1.5,0,0.0714,28,30,2,1,1,2,0.06,0.09,0.0928,NA,NA,NA,0.0557,3.2123,3.2123,3.112,30,22.1655,0,349.4328,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,1.5,0,0.0714,28,30,2,1,1,3,0.09,0.18,0.1606,NA,NA,NA,3.454,4.1482,4.1482,0.0875,30,22.1655,0,349.4328,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,1.5,0,0.0714,28,30,2,1,1,4,0.14,0.275,0.1993,NA,NA,NA,22.9526,6.3142,6.3142,3.3538,30,22.1655,0,349.4328,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,1.5,0,0.0714,28,30,2,1,1,5,0.26,0.47,0.2861,NA,NA,NA,73.5376,13.0345,13.0345,1.2813,30,22.1655,0,349.4328,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_random",NA,NA,"random",NA,1.5,0,0.0714,28,30,2,1,1,1,0.02,0.02,0.0587,0.0454,NA,NA,0,3.224,3.224,0,30,22.6591,0,353.059,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_random",NA,NA,"random",NA,1.5,0,0.0714,28,30,2,1,1,2,0.06,0.09,0.086,NA,NA,NA,0.0557,3.1588,3.1588,3.0479,30,22.6591,0,353.059,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_random",NA,NA,"random",NA,1.5,0,0.0714,28,30,2,1,1,3,0.09,0.18,0.1507,NA,NA,NA,2.7298,3.8657,3.8657,0.0947,30,22.6591,0,353.059,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_random",NA,NA,"random",NA,1.5,0,0.0714,28,30,2,1,1,4,0.14,0.275,0.1881,NA,NA,NA,19.2201,5.4134,5.4134,3.166,30,22.6591,0,353.059,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_random",NA,NA,"random",NA,1.5,0,0.0714,28,30,2,1,1,5,0.26,0.47,0.2729,NA,NA,NA,77.9944,14.3382,14.3382,1.0323,30,22.6591,0,353.059,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_level",NA,NA,"level",NA,1.5,0,0.0714,28,30,2,1,1,1,0.02,0.02,0.0579,NA,NA,NA,0,3.2206,3.2206,0,30,22.668,0,352.7927,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_level",NA,NA,"level",NA,1.5,0,0.0714,28,30,2,1,1,2,0.06,0.09,0.085,0.043,NA,NA,0,3.1504,3.1504,3.0468,30,22.668,0,352.7927,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_level",NA,NA,"level",NA,1.5,0,0.0714,28,30,2,1,1,3,0.09,0.18,0.1494,0.0776,NA,NA,3.0641,3.8607,3.8607,0.0969,30,22.668,0,352.7927,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_level",NA,NA,"level",NA,1.5,0,0.0714,28,30,2,1,1,4,0.14,0.275,0.1866,0.0697,NA,NA,18.6072,5.4334,5.4334,3.1783,30,22.668,0,352.7927,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC11",11,1,5,1,"CRM","crm_level",NA,NA,"level",NA,1.5,0,0.0714,28,30,2,1,1,5,0.26,0.47,0.2713,0.0868,NA,NA,78.3287,14.3348,14.3348,1.01,30,22.668,0,352.7927,1795,1795,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
