"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Metric","D1","D2","D3","D4","D5","Total","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"MTD Selection %",1.1506,9.7549,23.2116,36.1681,29.7149,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Pts Treated",4.4677,6.8554,7.6493,6.3662,4.6613,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Unique Pts by Dose",4.4677,6.8554,7.6493,6.3662,4.6613,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# IPDE Doses",0,3.6088,4.1266,1.915,2.1291,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.2206,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.1489,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"True DLT rate",0.07,0.12,0.17,0.22,0.3,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"True IPDE DLT rate",0.07,0.183,0.278,0.373,0.498,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"Estimated pj_iso",0.0174,0.0676,0.1392,0.2165,0.3746,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"MTD Selection %",1.7009,13.907,28.2641,36.5683,19.5598,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Pts Treated",4.6628,7.6838,8.074,6.096,3.4832,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Unique Pts by Dose",4.6628,7.6838,8.074,6.096,3.4832,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# IPDE Doses",0,3.7504,4.3372,1.9175,1.7694,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.2256,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.1564,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"True DLT rate",0.05,0.1,0.18,0.3,0.4,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"True IPDE DLT rate",0.05,0.1,0.18,0.3,0.4,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"Estimated pj_iso",0.007,0.032,0.1039,0.2345,0.3888,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"MTD Selection %",0.3502,2.8514,25.8129,46.023,24.9625,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Pts Treated",3.7534,5.098,8.1476,8.4372,4.5638,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Unique Pts by Dose",3.7534,5.098,8.1476,8.4372,4.5638,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# IPDE Doses",0,3.2661,3.7984,2.1791,2.2261,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.5303,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.8902,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"True DLT rate",0.05,0.1,0.18,0.3,0.4,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"True IPDE DLT rate",0.05,0.115,0.21,0.354,0.49,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"Estimated pj_iso",0.008,0.0402,0.1214,0.2576,0.4193,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"MTD Selection %",0.5003,5.1026,31.6158,46.6233,16.1581,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Pts Treated",3.8404,5.6053,8.8469,8.2076,3.4997,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Unique Pts by Dose",3.8404,5.6053,8.8469,8.2076,3.4997,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# IPDE Doses",0,3.3307,3.9985,2.3077,1.924,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.4392,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.8193,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"True DLT rate",0.05,0.1,0.18,0.3,0.4,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"True IPDE DLT rate",0.05,0.13,0.24,0.408,0.58,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"Estimated pj_iso",0.0096,0.0496,0.1375,0.2774,0.4395,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"MTD Selection %",0.7504,8.3042,37.2686,42.9715,10.7054,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Pts Treated",3.9305,6.3212,9.3527,7.6913,2.7044,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Unique Pts by Dose",3.9305,6.3212,9.3527,7.6913,2.7044,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# IPDE Doses",0,3.3842,4.2151,2.3447,1.5898,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.4662,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.7716,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"True DLT rate",0.05,0.1,0.18,0.3,0.4,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"True IPDE DLT rate",0.05,0.145,0.27,0.462,0.67,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"Estimated pj_iso",0.0109,0.0595,0.1554,0.2998,0.4669,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"MTD Selection %",0.8504,11.4557,42.3712,39.5198,5.8029,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Pts Treated",4.0235,7.1181,9.6858,7.1556,2.017,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Unique Pts by Dose",4.0235,7.1181,9.6858,7.1556,2.017,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# IPDE Doses",0,3.4807,4.4667,2.2661,1.2996,NA,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.4867,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
2,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.9,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.8808,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"True DLT rate",0.15,0.2,0.3,0.35,0.45,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"True IPDE DLT rate",0.15,0.2,0.3,0.35,0.45,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"Estimated pj_iso",0.0503,0.1201,0.2214,0.3001,0.4367,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"MTD Selection %",6.6033,27.8639,34.1171,22.8114,7.5538,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Pts Treated",7.0685,9.2431,7.9165,4.049,1.4782,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Unique Pts by Dose",7.0685,9.2431,7.9165,4.049,1.4782,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# IPDE Doses",0,4.1906,4.0385,1.2296,0.7904,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,29.7554,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,19.5063,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,1.0505,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,66.3996,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"True DLT rate",0.15,0.2,0.3,0.35,0.45,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"True IPDE DLT rate",0.15,0.245,0.36,0.44,0.555,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"Estimated pj_iso",0.0602,0.1484,0.251,0.3314,0.4537,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"MTD Selection %",9.4547,38.3192,30.4652,16.9585,3.7519,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Pts Treated",7.7949,10.6928,7.3612,3.03,0.8764,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Unique Pts by Dose",7.7949,10.6928,7.3612,3.03,0.8764,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# IPDE Doses",0,4.5363,4.0325,0.973,0.5208,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,29.7554,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,19.6928,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,1.0505,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,66.8425,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"True DLT rate",0.15,0.2,0.3,0.35,0.45,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"True IPDE DLT rate",0.15,0.29,0.42,0.53,0.66,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"Estimated pj_iso",0.0707,0.1721,0.2809,0.357,0.4961,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"MTD Selection %",13.7569,46.073,26.1631,11.8059,1.1506,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Pts Treated",8.6203,11.7404,6.6783,2.2421,0.4742,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# Unique Pts by Dose",8.6203,11.7404,6.6783,2.2421,0.4742,NA,NA,1999,1999
3,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,"# IPDE Doses",0,4.7754,3.8989,0.7529,0.3507,NA,NA,1999,1999
