"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
3,20,5,"five_scenarios_txt",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,5,0,0,0.52,0.25,0.41375490985876,0.419595007431651,48.6255040515487,0.11795609725755,12.2,1.6,1.671,1.502,0.5,27.303,17.418,1088.9369364388,22.7,1000
4,24,4,"five_scenarios_txt",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,1,0,0,0.01,0.05,0.0289609679471268,0.140319523445312,47.2607326888337,0.119858113570642,0,0.8,3.547,2.514,1.133,29.727,19.172,1183.04410337913,2.2,1000
4,24,4,"five_scenarios_txt",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,2,0,0,0.02,0.08,0.0460762435321234,0.152559235614105,47.3105043955614,0.119858113570642,0.1,1.1,3.724,3.038,1.881,29.727,19.172,1183.04410337913,2.2,1000
4,24,4,"five_scenarios_txt",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,3,0,0,0.05,0.2,0.0916658965133416,0.215698348427706,49.2752650451287,0.119858113570642,0.3,4.1,4.892,4.044,1.934,29.727,19.172,1183.04410337913,2.2,1000
4,24,4,"five_scenarios_txt",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,4,0,0,0.1,0.5,0.12046008110671,0.456977886997944,62.6002699756083,0.119858113570642,2.5,54.3,9.141,7.989,3.082,29.727,19.172,1183.04410337913,2.2,1000
4,24,4,"five_scenarios_txt",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,5,0,0,0.25,0.5,0.191056420702497,0.46215543967726,60.0870695525357,0.119858113570642,97.1,39.7,8.423,7.38,2.525,29.727,19.172,1183.04410337913,2.2,1000
5,27,2,"higher_gap_above_MTD",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,1,0,0,0.11,0.1,0.161687557395783,0.141712223325083,42.0352311036737,0.116550215815281,4.3,11.8,7.107,5.112,2.448,26.607,17.512,1083.53207115217,26.4,1000
5,27,2,"higher_gap_above_MTD",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,2,0,0,0.17,0.2,0.208631731024613,0.225208310256911,45.1672293744301,0.116550215815281,19.2,25.9,7.566,6.21,3.013,26.607,17.512,1083.53207115217,26.4,1000
5,27,2,"higher_gap_above_MTD",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,3,0,0,0.3,0.4,0.302461313441386,0.395378837841729,51.6242777328483,0.116550215815281,43.3,42.7,7.429,6.477,2.413,26.607,17.512,1083.53207115217,26.4,1000
5,27,2,"higher_gap_above_MTD",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,4,0,0,0.5,0.42,0.349678990664544,0.440097752258929,52.418705508954,0.116550215815281,28.7,13.6,3.557,3.257,0.987,26.607,17.512,1083.53207115217,26.4,1000
5,27,2,"higher_gap_above_MTD",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,5,0,0,0.62,0.45,0.445097482218726,0.486551182222452,51.3891716445981,0.116550215815281,4.1,1.1,0.948,0.891,0.234,26.607,17.512,1083.53207115217,26.4,1000
6,38,38,"user_added",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,1,0,0,0.05,0.05,0.0628056270412228,0.126141508641054,45.0562654368143,0.117630998074381,0.7,11.1,4.575,3.233,1.523,27.702,16.914,1067.33164594917,19.1,1000
6,38,38,"user_added",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,2,0,0,0.1,0.08,0.0905477973039165,0.14146251786364,44.8658391796617,0.117630998074381,2.1,9.4,4.828,3.951,2.265,27.702,16.914,1067.33164594917,19.1,1000
6,38,38,"user_added",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,3,0,0,0.12,0.12,0.15584221323458,0.171603495094918,44.0625211763118,0.117630998074381,5.8,8.9,5.111,4.187,2.079,27.702,16.914,1067.33164594917,19.1,1000
6,38,38,"user_added",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,4,0,0,0.15,0.15,0.193345480187132,0.213585907237185,45.0813352267458,0.117630998074381,18.9,9.9,6.068,5.031,2.464,27.702,16.914,1067.33164594917,19.1,1000
6,38,38,"user_added",1,"two_stage","top2_randomized","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,5,0,0,0.3,0.5,0.278128815492472,0.484453280157164,57.942044189731,0.117630998074381,72.5,59.6,7.12,6.275,2.457,27.702,16.914,1067.33164594917,19.1,1000
7,1,1,"base_example",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.333525536564215,0.0821921096487369,31.5905051163556,0.125357220591212,58.2,19.4,11.511,7.737,4.001,19.482,12.363,710.269531462246,67,1000
7,1,1,"base_example",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.386831124655562,0.266698651406169,40.5286740981477,0.125357220591212,16.9,7.7,4.632,3.567,1.873,19.482,12.363,710.269531462246,67,1000
7,1,1,"base_example",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.481655253996828,0.3833658575956,43.7357412958629,0.125357220591212,9.4,1.2,2.145,1.662,0.803,19.482,12.363,710.269531462246,67,1000
7,1,1,"base_example",1,"two_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.525256451753807,0.448596147454901,45.9055107771418,0.125357220591212,3.5,0.3,0.897,0.71,0.344,19.482,12.363,710.269531462246,67,1000
