"","Dose1","Dose2","Dose3","Dose4","Dose5","Stop %"
"Scenario 1","","","","","",""
"DLT rate","0.3","0.35","0.4","0.45","0.5",""
"Efficacy rate","0.05","0.06","0.07","0.08","0.09",""
"Utility","31","29.6","28.2","26.8","25.4",""
"No. Pts treated","10","5.8","3.3","1.9","0.8",""
"Select %","17.5","12","4.8","1.4","0.9","63.4"
"Scenario 2","","","","","",""
"DLT rate","0.15","0.2","0.3","0.35","0.45",""
"Efficacy rate","0.2","0.25","0.5","0.5","0.5",""
"Utility","46","47","58","56","52",""
"No. Pts treated","8.5","7.6","8.6","3.6","1.1",""
"Select %","27.8","24.6","32.7","9.9","1.3","3.7"
"Scenario 3","","","","","",""
"DLT rate","0.15","0.2","0.3","0.35","0.45",""
"Efficacy rate","0.1","0.4","0.4","0.4","0.4",""
"Utility","40","56","52","50","46",""
"No. Pts treated","6.4","11.4","6.4","3.5","1.4",""
"Select %","10.1","54","21.9","7.1","1.6","5.3"
"Scenario 4","","","","","",""
"DLT rate","0.05","0.1","0.18","0.3","0.4",""
"Efficacy rate","0.05","0.1","0.25","0.5","0.55",""
"Utility","41","42","47.8","58","57",""
"No. Pts treated","5","5.7","7.2","8.8","3.1",""
"Select %","12.6","14.6","26.9","35.6","7.1","3.2"
"Scenario 5","","","","","",""
"DLT rate","0.07","0.12","0.17","0.22","0.3",""
"Efficacy rate","0.05","0.3","0.3","0.3","0.3",""
"Utility","40.2","53.2","51.2","49.2","46",""
"No. Pts treated","4.5","8.3","7.1","6","3.9",""
"Select %","5.9","44.9","28.6","13.4","5.9","1.3"
"Scenario 6","","","","","",""
"DLT rate","0.29","0.34","0.38","0.43","0.52",""
"Efficacy rate","0.3","0.32","0.35","0.38","0.4",""
"Utility","46.4","45.6","45.8","45.6","43.2",""
"No. Pts treated","15.3","6.5","3.3","1.6","0.6",""
"Select %","59","17","5.4","1.8","0.1","16.7"
"Scenario 7","","","","","",""
"DLT rate","0.16","0.2","0.26","0.31","0.36",""
"Efficacy rate","0.2","0.5","0.5","0.5","0.5",""
"Utility","45.6","62","59.6","57.6","55.6",""
"No. Pts treated","6.8","12.8","5.9","2.9","1.1",""
"Select %","13.1","52.3","21.3","8.4","2.2","2.7"
"Scenario 8","","","","","",""
"DLT rate","0.32","0.37","0.42","0.48","0.52",""
"Efficacy rate","0.1","0.15","0.2","0.3","0.4",""
"Utility","33.2","34.2","35.2","38.8","43.2",""
"No. Pts treated","11.7","5.9","3.1","1.8","0.7",""
"Select %","29.9","15.1","4.2","1.3","0.2","49.3"
"Scenario 9","","","","","",""
"DLT rate","0.15","0.18","0.22","0.26","0.29",""
"Efficacy rate","0.05","0.08","0.2","0.25","0.5",""
"Utility","37","37.6","43.2","44.6","58.4",""
"No. Pts treated","5.7","5.7","5.9","5","6.4",""
"Select %","13.1","13.9","23.5","13","25.7","10.8"
"Scenario 10","","","","","",""
"DLT rate","0.23","0.28","0.32","0.39","0.43",""
"Efficacy rate","0.05","0.4","0.42","0.45","0.5",""
"Utility","33.8","52.8","52.4","51.4","52.8",""
"No. Pts treated","7.3","10.1","5.2","2.6","1",""
"Select %","8.8","42.9","16.2","5.4","1.5","25.2"
"Scenario 11","","","","","",""
"DLT rate","0.22","0.32","0.44","0.59","0.67",""
"Efficacy rate","0.2","0.2","0.2","0.2","0.2",""
"Utility","43.2","39.2","34.4","28.4","25.2",""
"No. Pts treated","14.4","7.8","3.9","1.6","0.5",""
"Select %","57.6","22.5","5.7","0.5","0","13.7"
"Scenario 12","","","","","",""
"DLT rate","0.06","0.09","0.18","0.29","0.44",""
"Efficacy rate","0.05","0.1","0.12","0.4","0.6",""
"Utility","40.6","42.4","40","52.4","58.4",""
"No. Pts treated","5.2","6.2","5.9","8.2","4.4",""
"Select %","16.6","23.8","15.1","32.3","9.9","2.3"
"Scenario 13","","","","","",""
"DLT rate","0.21","0.29","0.3","0.39","0.46",""
"Efficacy rate","0.05","0.3","0.32","0.35","0.4",""
"Utility","34.6","46.4","47.2","45.4","45.6",""
"No. Pts treated","7.9","9.4","5.1","2.9","1.4",""
"Select %","12.2","41.9","14.7","4.6","2","24.6"
"Scenario 14","","","","","",""
"DLT rate","0.09","0.15","0.23","0.28","0.39",""
"Efficacy rate","0.05","0.08","0.12","0.3","0.4",""
"Utility","39.4","38.8","38","46.8","48.4",""
"No. Pts treated","6.2","6.7","6","6.6","4",""
"Select %","23.8","21.2","16.7","22.8","8.6","6.9"
"Scenario 15","","","","","",""
"DLT rate","0.13","0.2","0.32","0.39","0.46",""
"Efficacy rate","0.1","0.1","0.1","0.1","0.1",""
"Utility","40.8","38","33.2","30.4","27.6",""
"No. Pts treated","9.6","8.3","5.5","3.6","1.8",""
"Select %","42.4","26.6","12.6","3.7","0.9","13.8"
"Scenario 16","","","","","",""
"DLT rate","0.02","0.06","0.09","0.14","0.26",""
"Efficacy rate","0.2","0.2","0.2","0.2","0.2",""
"Utility","51.2","49.6","48.4","46.4","41.6",""
"No. Pts treated","4.9","5.7","6.7","7.4","5.3",""
"Select %","35.1","27.5","19.7","12.1","5.6","0"
"Scenario 17","","","","","",""
"DLT rate","0.11","0.23","0.39","0.58","0.76",""
"Efficacy rate","0.3","0.5","0.5","0.5","0.5",""
"Utility","53.6","60.8","54.4","46.8","39.6",""
"No. Pts treated","10.2","14","4.4","1.1","0.2",""
"Select %","31.4","59","8.1","0.7","0","0.8"
"Scenario 18","","","","","",""
"DLT rate","0.02","0.04","0.1","0.2","0.35",""
"Efficacy rate","0.05","0.1","0.15","0.2","0.5",""
"Utility","42.2","44.4","45","44","56",""
"No. Pts treated","4.3","5.2","5.8","6.6","8.1",""
"Select %","16.1","20.1","21.6","14.4","27.6","0.2"
"Scenario 19","","","","","",""
"DLT rate","0.11","0.26","0.39","0.6","0.77",""
"Efficacy rate","0.08","0.3","0.32","0.35","0.4",""
"Utility","40.4","47.6","43.6","37","33.2",""
"No. Pts treated","8.6","12","5.9","2","0.4",""
"Select %","20.5","56.8","12.5","0.6","0","9.6"
"Scenario 20","","","","","",""
"DLT rate","0.07","0.14","0.31","0.41","0.52",""
"Efficacy rate","0.05","0.25","0.25","0.25","0.25",""
"Utility","40.2","49.4","42.6","38.6","34.2",""
"No. Pts treated","6.2","10.7","7","4.1","1.7",""
"Select %","11.3","62.1","18.8","4.9","0.1","2.8"
"Scenario 21","","","","","",""
"DLT rate","0.37","0.56","0.69","0.83","0.88",""
"Efficacy rate","0.5","0.5","0.5","0.5","0.5",""
"Utility","55.2","47.6","42.4","36.8","34.8",""
"No. Pts treated","20.7","2.5","0.4","0","0",""
"Select %","60.5","0.5","0","0","0","39"
"Scenario 22","","","","","",""
"DLT rate","0.07","0.27","0.5","0.56","0.78",""
"Efficacy rate","0.08","0.25","0.25","0.5","0.5",""
"Utility","42","44.2","35","47.6","38.8",""
"No. Pts treated","9.8","12.4","4.6","2","0.2",""
"Select %","24.4","60.8","4","0.8","0","10"
"Scenario 23","","","","","",""
"DLT rate","0.32","0.55","0.8","0.94","0.97",""
"Efficacy rate","0.05","0.05","0.05","0.05","0.05",""
"Utility","30.2","21","11","5.4","4.2",""
"No. Pts treated","11.6","4.8","1.2","0.1","0",""
"Select %","10.7","0.7","0","0","0","88.6"
"Scenario 24","","","","","",""
"DLT rate","0.01","0.02","0.05","0.1","0.25",""
"Efficacy rate","0.05","0.08","0.2","0.5","0.5",""
"Utility","42.6","44","50","66","60",""
"No. Pts treated","3.2","3.4","4.7","12.9","5.8",""
"Select %","1.7","3.3","6.7","65.7","22.6","0"
"Scenario 25","","","","","",""
"DLT rate","0.09","0.18","0.37","0.63","0.77",""
"Efficacy rate","0.2","0.25","0.4","0.45","0.5",""
"Utility","48.4","47.8","49.2","41.8","39.2",""
"No. Pts treated","9.9","9.9","7.6","2.1","0.3",""
"Select %","40.7","35.7","21.7","0.4","0","1.5"
"Scenario 26","","","","","",""
"DLT rate","0.15","0.22","0.3","0.62","0.8",""
"Efficacy rate","0.1","0.2","0.35","0.45","0.55",""
"Utility","40","43.2","49","42.2","41",""
"No. Pts treated","8.5","9.4","8","2.9","0.4",""
"Select %","22.8","35.1","32.9","1","0","8.2"
"Scenario 27","","","","","",""
"DLT rate","0.11","0.17","0.3","0.5","0.62",""
"Efficacy rate","0.1","0.2","0.4","0.42","0.45",""
"Utility","41.6","45.2","52","45.2","42.2",""
"No. Pts treated","7.2","9","9.2","3.4","0.7",""
"Select %","20.9","32.9","38","4.2","0","4"
"Scenario 28","","","","","",""
"DLT rate","0.2","0.3","0.5","0.6","0.77",""
"Efficacy rate","0.05","0.3","0.32","0.35","0.4",""
"Utility","35","46","39.2","37","33.2",""
"No. Pts treated","9.1","11.7","4.2","1.2","0.2",""
"Select %","12.7","51.5","5.6","0.3","0.1","29.8"
"Scenario 29","","","","","",""
"DLT rate","0.19","0.3","0.56","0.74","0.86",""
"Efficacy rate","0.4","0.4","0.4","0.4","0.4",""
"Utility","56.4","52","41.6","34.4","29.6",""
"No. Pts treated","17.4","8.6","2.7","0.6","0",""
"Select %","72.7","22.9","1.2","0","0","3.2"
"Scenario 30","","","","","",""
"DLT rate","0.05","0.08","0.17","0.27","0.54",""
"Efficacy rate","0.12","0.15","0.2","0.4","0.5",""
"Utility","45.2","45.8","45.2","53.2","48.4",""
"No. Pts treated","5.3","6.1","6.6","8.6","3.3",""
"Select %","23.9","23.6","21.2","28.2","2.4","0.7"
"Scenario 31","","","","","",""
"DLT rate","0.04","0.06","0.1","0.2","0.6",""
"Efficacy rate","0.2","0.5","0.5","0.5","0.5",""
"Utility","50.4","67.6","66","62","46",""
"No. Pts treated","3.9","12.3","7.9","4.8","1.1",""
"Select %","3.3","41.2","34.5","19.9","1","0.1"
"Scenario 32","","","","","",""
"DLT rate","0.02","0.05","0.11","0.3","0.36",""
"Efficacy rate","0.08","0.15","0.3","0.3","0.3",""
"Utility","44","47","53.6","46","43.6",""
"No. Pts treated","4.4","5.9","9.2","6.7","3.8",""
"Select %","14.1","21.4","46.4","13.3","4.6","0.2"
"Scenario 33","","","","","",""
"DLT rate","0.01","0.02","0.09","0.32","0.38",""
"Efficacy rate","0.05","0.08","0.2","0.4","0.5",""
"Utility","42.6","44","48.4","51.2","54.8",""
"No. Pts treated","4.4","5.5","7.9","7.9","4.3",""
"Select %","12.3","14.7","33.2","28.1","11.4","0.3"
"Scenario 34","","","","","",""
"DLT rate","0.05","0.13","0.3","0.36","0.42",""
"Efficacy rate","0.05","0.1","0.3","0.32","0.35",""
"Utility","41","40.8","46","44.8","44.2",""
"No. Pts treated","6.6","7.8","8","4.9","2.4",""
"Select %","20.5","22.2","37.8","11","3","5.5"
"Scenario 35","","","","","",""
"DLT rate","0.03","0.09","0.3","0.4","0.45",""
"Efficacy rate","0.2","0.45","0.45","0.45","0.45",""
"Utility","50.8","63.4","55","51","49",""
"No. Pts treated","5.3","13.5","7.1","3","1.1",""
"Select %","12.3","63.1","19.3","4.2","1.1","0"
"Scenario 36","","","","","",""
"DLT rate","0.13","0.29","0.35","0.4","0.43",""
"Efficacy rate","0.05","0.2","0.22","0.3","0.35",""
"Utility","37.8","40.4","39.2","42","43.8",""
"No. Pts treated","8.4","10.1","4.9","3.2","1.6",""
"Select %","17.6","43.5","13.5","4.9","1.9","18.6"
"Scenario 37","","","","","",""
"DLT rate","0.08","0.3","0.4","0.45","0.5",""
