Scenario,Version,Design,Design_Key,Method,Available,Availability_Note,Source,Trials,True_MTD,True_OBD,No_OBD_Selection_pct,Mean_Total_Administrations,Mean_Total_Unique_Patients,Mean_Duration_days,True_DLT_Dose_1,True_Efficacy_Dose_1,OBD_Selection_Dose_1_pct,Mean_Administrations_Dose_1,True_DLT_Dose_2,True_Efficacy_Dose_2,OBD_Selection_Dose_2_pct,Mean_Administrations_Dose_2,True_DLT_Dose_3,True_Efficacy_Dose_3,OBD_Selection_Dose_3_pct,Mean_Administrations_Dose_3,True_DLT_Dose_4,True_Efficacy_Dose_4,OBD_Selection_Dose_4_pct,Mean_Administrations_Dose_4,True_DLT_Dose_5,True_Efficacy_Dose_5,OBD_Selection_Dose_5_pct,Mean_Administrations_Dose_5
38,TITE,One-stage (highest utility),one_stage,TITE | one-stage,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,5,1.2999999999999972,29.838,18.614,1130.58836377537,0.05,0.05,13.9,4.638,0.1,0.08,10.3,4.761,0.12,0.12,7.8,5.028,0.15,0.15,8.2,5.565,0.3,0.5,58.5,9.846
38,New non-TITE,One-stage (highest utility),one_stage,New non-TITE | one-stage,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,5,0.9,29.856,18.891,1040.6256,0.05,0.05,13.8,4.557,0.1,0.08,7.2,4.557,0.12,0.12,6.8,4.989,0.15,0.15,7.8,5.316,0.3,0.5,63.5,10.437
1,TITE,Two-stage (highest utility),two_stage_highest_utility,TITE | 2-stage highest utility,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,1,1,71.6,19.482,12.359,710.610670238794,0.3,0.05,18.6,11.532,0.35,0.06,8.8,4.584,0.4,0.07,0.9,2.172,0.45,0.08,0.1,0.915,0.5,0.09,0.0,0.279
1,New non-TITE,Two-stage (highest utility),two_stage_highest_utility,New non-TITE | 2-stage highest utility,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,1,1,73.4,19.068,12.375,677.6065,0.3,0.05,18.0,11.121,0.35,0.06,7.2,4.359,0.4,0.07,1.2,2.334,0.45,0.08,0.0,0.963,0.5,0.09,0.2,0.291
16,TITE,Two-stage (highest utility),two_stage_highest_utility,TITE | 2-stage highest utility,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,1,0.10000000000000853,29.997,17.912,1080.03414757293,0.02,0.2,31.4,7.347,0.06,0.2,24.3,6.957,0.09,0.2,19.3,5.859,0.14,0.2,15.1,5.514,0.26,0.2,9.8,4.32
16,New non-TITE,Two-stage (highest utility),two_stage_highest_utility,New non-TITE | 2-stage highest utility,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,1,0.1,30.0,18.216,1000.32,0.02,0.2,34.1,7.575,0.06,0.2,21.3,6.816,0.09,0.2,16.6,5.691,0.14,0.2,16.4,5.49,0.26,0.2,11.5,4.428
20,TITE,Two-stage (highest utility),two_stage_highest_utility,TITE | 2-stage highest utility,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,3,2,2.9000000000000057,29.562,18.768,1102.63965162177,0.07,0.05,11.0,5.37,0.14,0.25,50.2,11.082,0.31,0.25,25.9,7.986,0.41,0.25,8.8,3.753,0.52,0.25,1.2,1.371
20,New non-TITE,Two-stage (highest utility),two_stage_highest_utility,New non-TITE | 2-stage highest utility,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,3,2,3.2,29.511,18.855,1035.6512,0.07,0.05,14.2,5.325,0.14,0.25,47.4,11.226,0.31,0.25,25.8,7.887,0.41,0.25,7.7,3.75,0.52,0.25,1.7,1.323
24,TITE,Two-stage (highest utility),two_stage_highest_utility,TITE | 2-stage highest utility,True,,TITE_AIDE_phase_I_II_IDX_1001_to_2000_dose_summary.csv,1000,5,4,0.0,30.0,19.527,1201.29316809362,0.01,0.05,1.3,3.426,0.02,0.08,1.8,3.48,0.05,0.2,4.8,4.479,0.1,0.5,56.0,10.644,0.25,0.5,36.1,7.971
24,New non-TITE,Two-stage (highest utility),two_stage_highest_utility,New non-TITE | 2-stage highest utility,True,,AIDE_phase_I_II_modelsadditive_newdesign_shared_N30_ncycle2_rp0p15x0p85_rate56d_ep0p5x0p5_cp0p15x0p85_eth0p2_fut0p85_ap0p15x0p85_IDX_0001_to_1000_dose_summary.csv,1000,5,4,0.0,30.0,19.631,1083.2636,0.01,0.05,2.0,3.432,0.02,0.08,1.5,3.486,0.05,0.2,6.2,4.413,0.1,0.5,55.5,10.608,0.25,0.5,34.8,8.061
