"New_Scenario","Original_Scenario","Given_MTD","List_Order","File_True_MTD"
1,6,2,1,2
2,5,2,7,2
3,10,3,2,3
4,20,3,5,3
5,2,4,3,4
6,9,4,6,4
7,4,5,4,5
