"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"Random prior sensitivity","0","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","27.558333333333334","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.3, 0.7)","Average sample size","22.1451","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.3, 0.7)","Average trial duration","173.5437","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","1.4068","9822","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","MTD selection","57.1537","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","MTD allocation","40.57833333333334","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","Overdose selection","25.3076","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","27.240666666666666","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.3101","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","Average trial duration","174.8884857142857","9623","false"
"Random prior sensitivity","0","0.15","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","4.3232","9623","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","MTD selection","34.2357","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","MTD allocation","27.728666666666665","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","Overdose selection","34.7457","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","Overdose allocation","27.380333333333333","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","Average sample size","21.9055","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","Average trial duration","171.62747142857143","9916","false"
"Random prior sensitivity","0","0.05","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","6.9397","9916","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","MTD selection","48.2601","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","MTD allocation","35.284666666666666","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","Overdose selection","31.795","9822","false"
"Random prior sensitivity","0","0.10","Discount CRM (0.5, 0.5)","Overdose allocation","28.914","9822","false"
