"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","MTD selection","49.8487","9846","false"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","MTD allocation","36.668000000000006","9846","false"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","Overdose selection","26.0811","9846","false"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","Overdose allocation","24.025","9846","false"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","Average sample size","22.0173","9846","false"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","Average trial duration","172.52952857142856","9846","false"
"All methods and random priors","0","0.10","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","0.4827","9846","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","MTD selection","58.3933","9632","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","MTD allocation","41.973","9632","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","Overdose selection","22.5198","9632","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","Overdose allocation","24.133666666666667","9632","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","Average sample size","22.2144","9632","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","Average trial duration","174.1212142857143","9632","false"
"All methods and random priors","0","0.15","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","2.7292","9632","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","MTD selection","34.4673","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","MTD allocation","27.872333333333337","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","Overdose selection","32.5918","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","Overdose allocation","26.095333333333333","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","Average sample size","21.9256","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","Average trial duration","171.8014","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","5.721","9916","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","MTD selection","48.9123","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","MTD allocation","35.74533333333333","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","Overdose selection","29.7938","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","27.558333333333334","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","Average sample size","22.1451","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","Average trial duration","173.5437","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","1.4068","9822","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","MTD selection","57.1537","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","MTD allocation","40.57833333333334","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","Overdose selection","25.3076","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","27.240666666666666","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.3101","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","Average trial duration","174.8884857142857","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","4.3232","9623","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","MTD selection","34.2357","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","MTD allocation","27.728666666666665","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","Overdose selection","34.7457","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","Overdose allocation","27.380333333333333","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","Average sample size","21.9055","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","Average trial duration","171.62747142857143","9916","false"
"All methods and random priors","0","0.05","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","6.9397","9916","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","MTD selection","48.2601","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","MTD allocation","35.284666666666666","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","Overdose selection","31.795","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","Overdose allocation","28.914","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","Average sample size","22.1437","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","Average trial duration","173.52812857142857","9822","false"
"All methods and random priors","0","0.10","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","2.0591","9822","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","MTD selection","56.4285","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","MTD allocation","39.964666666666666","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","Overdose selection","26.9954","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","Overdose allocation","28.536333333333335","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","Average sample size","22.3097","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","Average trial duration","174.87347142857143","9623","false"
"All methods and random priors","0","0.15","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","5.2488","9623","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","MTD selection","34.0367","9916","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","MTD allocation","27.594","9916","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","Overdose selection","36.821","9916","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","Overdose allocation","28.519","9916","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","Average sample size","21.9315","9916","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","Average trial duration","171.82705714285711","9916","false"
"All methods and random priors","0","0.05","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","8.2252","9916","false"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","MTD selection","47.6109","9822","false"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","MTD allocation","34.867666666666665","9822","false"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","Overdose selection","33.7786","9822","false"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","Overdose allocation","30.126333333333335","9822","false"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","Average sample size","22.184","9822","false"
"All methods and random priors","0","0.10","Discount CRM (1, 1)","Average trial duration","173.85462857142858","9822","false"
