"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","MTD allocation","35.82833333333333","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","Overdose selection","29.0431","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","Overdose allocation","27.408","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","Average sample size","22.0687","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","Average trial duration","172.9337857142857","9786","false"
"All methods and random priors","0.3","0.10","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","1.1973","9786","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","MTD selection","57.3131","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","MTD allocation","40.59433333333333","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","Overdose selection","24.8271","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","Overdose allocation","27.237333333333336","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","Average sample size","22.2567","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","Average trial duration","174.4602285714286","9935","false"
"All methods and random priors","0.3","0.15","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","4.5358","9935","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","MTD selection","34.5122","9889","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","MTD allocation","27.827","9889","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","Overdose selection","33.7241","9889","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","Overdose allocation","26.92","9889","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","Average sample size","21.8604","9889","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","Average trial duration","171.25008571428572","9889","false"
"All methods and random priors","0.3","0.05","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","6.5984","9889","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","MTD selection","48.5864","9777","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","MTD allocation","35.477666666666664","9777","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","Overdose selection","31.1292","9777","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","Overdose allocation","28.68933333333333","9777","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","Average sample size","22.1174","9777","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","Average trial duration","173.3223","9777","false"
"All methods and random priors","0.3","0.10","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","1.6947","9777","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","MTD selection","56.5897","9934","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","MTD allocation","40.05733333333333","9934","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","Overdose selection","26.5159","9934","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","Overdose allocation","28.396666666666665","9934","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","Average sample size","22.3072","9934","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","Average trial duration","174.85512857142857","9934","false"
"All methods and random priors","0.3","0.15","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","5.3961","9934","false"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","MTD selection","34.5165","10000","false"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","MTD allocation","28.066","10000","false"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","Overdose selection","25.2711","10000","false"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","Overdose allocation","20.298000000000002","10000","false"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","Average sample size","28.8972","10000","true"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","Average trial duration","231.1776","10000","true"
"All methods and random priors","0.3","0.05","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","MTD selection","50.3186","10000","false"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","MTD allocation","37.193333333333335","10000","false"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","Overdose selection","23.8285","10000","false"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","Overdose allocation","21.752666666666666","10000","false"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","Average sample size","29.178099999999997","10000","true"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","Average trial duration","233.42479999999998","10000","true"
"All methods and random priors","0.3","0.10","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","MTD selection","59.4115","10000","false"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","MTD allocation","42.927","10000","false"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","Overdose selection","20.7302","10000","false"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","Overdose allocation","21.921666666666667","10000","false"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","Average sample size","29.2446","10000","true"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","Average trial duration","233.9568","10000","true"
"All methods and random priors","0.3","0.15","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","MTD selection","32.9147","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","MTD allocation","27.738000000000003","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","Overdose selection","13.3792","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","Overdose allocation","13.121","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","Average sample size","22.0395","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","Average trial duration","172.6649857142857","10000","false"
"All methods and random priors","0.6","0.05","r-fixed CRM","Absolute MTD-selection change vs oracle","9.235","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","MTD selection","50.7681","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","MTD allocation","38.266666666666666","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","Overdose selection","13.8314","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","Overdose allocation","15.260333333333334","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","Average sample size","21.9901","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","Average trial duration","172.2833285714286","10000","false"
"All methods and random priors","0.6","0.10","r-fixed CRM","Absolute MTD-selection change vs oracle","0.4495","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","MTD selection","61.0634","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","MTD allocation","44.85933333333333","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","Overdose selection","13.3026","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","Overdose allocation","16.69066666666667","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","Average sample size","22.1685","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","Average trial duration","173.72967142857144","10000","false"
"All methods and random priors","0.6","0.15","r-fixed CRM","Absolute MTD-selection change vs oracle","5.9225","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","MTD selection","34.201","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","MTD allocation","28.401666666666667","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","Overdose selection","18.5457","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","Overdose allocation","16.487666666666666","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","Average sample size","21.9479","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","Average trial duration","171.949","10000","false"
"All methods and random priors","0.6","0.05","Alpha-CRM","Absolute MTD-selection change vs oracle","5.2595","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","MTD selection","51.3592","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","MTD allocation","38.376999999999995","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","Overdose selection","19.2791","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","Overdose allocation","19.226666666666667","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","Average sample size","22.0712","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","Average trial duration","172.91208571428572","10000","false"
"All methods and random priors","0.6","0.10","Alpha-CRM","Absolute MTD-selection change vs oracle","1.0406","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","MTD selection","60.24","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","MTD allocation","43.99066666666667","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","Overdose selection","18.0673","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","Overdose allocation","20.603","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","Average sample size","22.2759","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","Average trial duration","174.58465714285714","10000","false"
"All methods and random priors","0.6","0.15","Alpha-CRM","Absolute MTD-selection change vs oracle","4.1651","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","MTD selection","37.6517","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","MTD allocation","30.033333333333335","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","Overdose selection","29.8567","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","Overdose allocation","25.098333333333333","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","Average sample size","22.4474","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","Average trial duration","175.92082857142856","10000","false"
"All methods and random priors","0.6","0.05","Cumulative CRM","Absolute MTD-selection change vs oracle","6.1164","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","MTD selection","52.9696","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","MTD allocation","38.92633333333333","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","Overdose selection","27.1728","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","Overdose allocation","25.985333333333337","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","Average sample size","22.6616","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","Average trial duration","177.63707142857143","10000","false"
"All methods and random priors","0.6","0.10","Cumulative CRM","Absolute MTD-selection change vs oracle","2.651","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","MTD selection","62.488","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","MTD allocation","44.346000000000004","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","Overdose selection","22.3545","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","Overdose allocation","25.101000000000003","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","Average sample size","22.858","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","Average trial duration","179.2309857142857","10000","false"
"All methods and random priors","0.6","0.15","Cumulative CRM","Absolute MTD-selection change vs oracle","5.6097","10000","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","MTD selection","33.9373","9895","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","MTD allocation","28.027333333333335","9895","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","Overdose selection","18.2151","9895","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","Overdose allocation","16.937666666666665","9895","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","Average sample size","21.7927","9895","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","Average trial duration","170.68955714285715","9895","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","6.2227","9895","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","MTD selection","50.2439","5038","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","MTD allocation","37.72533333333333","5038","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","Overdose selection","18.0907","5038","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","Overdose allocation","19.216","5038","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","Average sample size","21.8745","5038","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","Average trial duration","171.36402857142858","5038","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","0.1719","5038","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","MTD selection","59.497","9902","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","MTD allocation","43.44433333333334","9902","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","Overdose selection","16.7896","9902","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","Overdose allocation","20.196666666666665","9902","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","Average sample size","22.084","9902","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","Average trial duration","173.06405714285714","9902","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","4.5137","9902","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","MTD selection","34.5252","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","MTD allocation","28.058666666666667","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","Overdose selection","25.9321","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","Overdose allocation","22.462","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","Average sample size","21.8218","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","Average trial duration","170.94807142857144","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","3.881","9871","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","MTD selection","49.5645","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","MTD allocation","36.650666666666666","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","Overdose selection","24.2907","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","24.419333333333334","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","Average sample size","22.0008","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","Average trial duration","172.3989","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","0.4805","5026","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","MTD selection","58.1849","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","MTD allocation","41.74066666666667","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","Overdose selection","21.2714","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","24.503666666666668","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.1957","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","Average trial duration","173.96705714285713","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","3.9582","9880","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","MTD selection","34.5864","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","MTD allocation","27.960666666666665","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","Overdose selection","28.9087","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","Overdose allocation","24.278666666666666","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","Average sample size","21.7748","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","Average trial duration","170.56667142857142","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","4.5526","9871","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","MTD selection","49.1597","5027","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","MTD allocation","36.17966666666666","5027","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","Overdose selection","26.8369","5027","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","Overdose allocation","26.24566666666667","5027","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","Average sample size","21.9943","5027","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","Average trial duration","172.34267142857144","5027","false"
"All methods and random priors","0.6","0.10","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","0.8896","5027","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","MTD selection","57.6735","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","MTD allocation","41.052","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","Overdose selection","23.1935","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","Overdose allocation","26.137333333333334","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","Average sample size","22.2013","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","Average trial duration","174.01340000000002","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","4.3117","9880","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","MTD selection","34.7535","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","MTD allocation","28.000333333333334","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","Overdose selection","31.0899","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","Overdose allocation","25.48933333333333","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","Average sample size","21.7984","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","Average trial duration","170.75005714285712","9871","false"
"All methods and random priors","0.6","0.05","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","5.5185","9871","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","MTD selection","48.8506","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","MTD allocation","35.91","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","Overdose selection","28.886","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","Overdose allocation","27.515","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","Average sample size","22.0407","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","Average trial duration","172.72779999999997","5026","false"
"All methods and random priors","0.6","0.10","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","1.1944","5026","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","MTD selection","57.1728","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","MTD allocation","40.589000000000006","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","Overdose selection","24.799","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","Overdose allocation","27.274333333333335","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","Average sample size","22.2547","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","Average trial duration","174.44084285714285","9880","false"
"All methods and random priors","0.6","0.15","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","4.8574","9880","false"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","MTD selection","34.5165","10000","false"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","MTD allocation","28.066","10000","false"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","Overdose selection","25.2711","10000","false"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","Overdose allocation","20.298000000000002","10000","false"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","Average sample size","28.8972","10000","true"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","Average trial duration","231.1776","10000","true"
"All methods and random priors","0.6","0.05","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","MTD selection","50.3186","10000","false"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","MTD allocation","37.193333333333335","10000","false"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","Overdose selection","23.8285","10000","false"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","Overdose allocation","21.752666666666666","10000","false"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","Average sample size","29.178099999999997","10000","true"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","Average trial duration","233.42479999999998","10000","true"
"All methods and random priors","0.6","0.10","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","MTD selection","59.4115","10000","false"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","MTD allocation","42.927","10000","false"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","Overdose selection","20.7302","10000","false"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","Overdose allocation","21.921666666666667","10000","false"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","Average sample size","29.2446","10000","true"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","Average trial duration","233.9568","10000","true"
"All methods and random priors","0.6","0.15","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","MTD selection","30.9663","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","MTD allocation","27.11933333333333","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","Overdose selection","8.9003","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","Overdose allocation","10.104666666666667","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","Average sample size","22.1542","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","Average trial duration","173.58177142857144","10000","false"
"All methods and random priors","0.9","0.05","r-fixed CRM","Absolute MTD-selection change vs oracle","12.8072","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","MTD selection","49.3385","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","MTD allocation","38.19766666666667","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","Overdose selection","10.0178","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","Overdose allocation","12.453666666666667","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","Average sample size","21.9908","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","Average trial duration","172.28805714285713","10000","false"
"All methods and random priors","0.9","0.10","r-fixed CRM","Absolute MTD-selection change vs oracle","0.9801","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","MTD selection","60.7236","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","MTD allocation","45.346666666666664","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","Overdose selection","10.4311","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","Overdose allocation","14.409666666666665","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","Average sample size","22.1524","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","Average trial duration","173.60465714285715","10000","false"
"All methods and random priors","0.9","0.15","r-fixed CRM","Absolute MTD-selection change vs oracle","7.9795","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","MTD selection","33.2368","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","MTD allocation","28.171999999999993","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","Overdose selection","13.7115","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","Overdose allocation","13.415333333333335","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","Average sample size","22.0121","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","Average trial duration","172.4566857142857","10000","false"
"All methods and random priors","0.9","0.05","Alpha-CRM","Absolute MTD-selection change vs oracle","8.1897","10000","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","MTD selection","51.2679","9280","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","MTD allocation","38.82966666666666","9280","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","Overdose selection","15.2648","9280","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","Overdose allocation","16.44766666666667","9280","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","Average sample size","22.0548","9280","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","Average trial duration","172.79345714285714","9280","false"
"All methods and random priors","0.9","0.10","Alpha-CRM","Absolute MTD-selection change vs oracle","0.9656","9280","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","MTD selection","60.8172","10000","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","MTD allocation","44.83233333333333","10000","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","Overdose selection","15.2305","10000","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","Overdose allocation","18.46333333333333","10000","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","Average sample size","22.2584","10000","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","Average trial duration","174.44267142857143","10000","false"
"All methods and random priors","0.9","0.15","Alpha-CRM","Absolute MTD-selection change vs oracle","5.0841","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","MTD selection","37.906","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","MTD allocation","30.343","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","Overdose selection","25.333","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","Overdose allocation","21.96933333333333","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","Average sample size","22.4061","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","Average trial duration","175.57434285714288","10000","false"
"All methods and random priors","0.9","0.05","Cumulative CRM","Absolute MTD-selection change vs oracle","5.7167","10000","false"
"All methods and random priors","0.9","0.10","Cumulative CRM","MTD selection","53.8764","10000","false"
"All methods and random priors","0.9","0.10","Cumulative CRM","MTD allocation","39.851","10000","false"
"All methods and random priors","0.9","0.10","Cumulative CRM","Overdose selection","23.8041","10000","false"
"All methods and random priors","0.9","0.10","Cumulative CRM","Overdose allocation","23.390333333333334","10000","false"
"All methods and random priors","0.9","0.10","Cumulative CRM","Average sample size","22.5928","10000","false"
