"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","Scenario_Group","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","IPDE_Design","New_Patient_First","N_Eval_Escalate","D_Cap","Dose_Cap","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,1,0.3,0.3,0.2903,0,NA,NA,49.15,14.6675,14.6675,0,25.1015,19.832,23.95,1078.123,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,2,0.35,0.44,0.3469,NA,NA,NA,18.25,7.2795,7.2795,4.128,25.1015,19.832,23.95,1078.123,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,3,0.4,0.505,0.4482,NA,NA,NA,6.85,2.2455,2.2455,0.736,25.1015,19.832,23.95,1078.123,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,4,0.45,0.57,0.4949,NA,NA,NA,1.45,0.7425,0.7425,0.3515,25.1015,19.832,23.95,1078.123,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","r_fixed",NA,NA,"r_fixed",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,5,0.5,0.635,0.583,NA,NA,NA,0.35,0.1665,0.1665,0.054,25.1015,19.832,23.95,1078.123,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","random",NA,NA,"random",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,1,0.3,0.3,0.2776,0.0765,NA,NA,44.05,13.7895,13.7895,0,25.2705,19.6995,23.05,1070.0413,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","random",NA,NA,"random",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,2,0.35,0.44,0.3333,NA,NA,NA,20.85,7.251,7.251,4.1105,25.2705,19.6995,23.05,1070.0413,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","random",NA,NA,"random",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,3,0.4,0.505,0.4341,NA,NA,NA,9,2.8185,2.8185,0.866,25.2705,19.6995,23.05,1070.0413,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","random",NA,NA,"random",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,4,0.45,0.57,0.4809,NA,NA,NA,2.65,1.089,1.089,0.488,25.2705,19.6995,23.05,1070.0413,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","random",NA,NA,"random",NA,0.3,0,0.0179,28,30,2,1,1,3,100,3,1,1,0,5,0.5,0.635,0.5697,NA,NA,NA,0.4,0.3225,0.3225,0.1065,25.2705,19.6995,23.05,1070.0413,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
