"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","IPDE_Design","Continuous_Enrollment","New_Pat_First","N_Eval_Escalate","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files","Oracle_Reference","n_scenarios_paired_with_oracle"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1186.7504,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,57.6056,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0478,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.6227,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,11.626,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,4.022,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,12.4977,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Mean paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,-1.8223,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.3,0,0.0179,28,30,3,2,1,1,1,3,1,0,"SD paired MTD selection difference vs oracle %",NA,NA,NA,NA,NA,12.9796,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose selection %",22.5493,19.0011,19.8637,19.5627,14.3743,NA,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0.6,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose allocation",9.0685,7.2743,5.7647,4.2522,2.7783,NA,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
