"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Multicycle_Toxicity_Rule","Multicycle_Toxicity_Cutoff","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,1,0.3,0.05,0.3254,0.0813,31.8598,0.1169,NA,NA,58.6,9.4,10.887,7.392,3.877,19.203,10.551,8.6,9,79.6,577.4965,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,2,0.35,0.06,0.3788,0.2597,40.4339,0.1169,NA,NA,16.8,6.2,4.434,3.737,2.617,19.203,10.551,8.6,9,79.6,577.4965,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,3,0.4,0.07,0.4741,0.355,42.3386,0.1169,NA,NA,11.8,3.3,2.49,2.133,1.444,19.203,10.551,8.6,9,79.6,577.4965,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,4,0.45,0.08,0.518,0.4347,45.3629,0.1169,NA,NA,2.9,0.9,1.041,0.903,0.528,19.203,10.551,8.6,9,79.6,577.4965,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,5,0.5,0.09,0.6011,0.4773,44.5944,0.1169,NA,NA,1.3,0.6,0.351,0.297,0.186,19.203,10.551,8.6,9,79.6,577.4965,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,1,0.02,0.2,0.0398,0.1942,50.0611,0.1153,NA,NA,0,23.5,7.113,5.984,2.169,30,14.671,0,0,1,800.7542,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,2,0.06,0.2,0.0608,0.1922,49.1025,0.1153,NA,NA,0,21.4,6.594,5.638,4.088,30,14.671,0,0,1,800.7542,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,3,0.09,0.2,0.1138,0.2001,47.4553,0.1153,NA,NA,0.5,18.1,5.562,5.013,3.439,30,14.671,0,0,1,800.7542,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,4,0.14,0.2,0.1459,0.2134,46.9703,0.1153,NA,NA,7.1,21.6,5.874,5.139,3.002,30,14.671,0,0,1,800.7542,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,5,0.26,0.2,0.2217,0.2383,45.4299,0.1153,NA,NA,92.4,14.4,4.857,4.295,2.631,30,14.671,0,0,1,800.7542,1000,1000
