"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","No_OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.330849313595727,0.0841946983571402,31.8177093575993,0.120579717749507,54.8,9.5,78.7,10.995,7.507,3.735,19.728,12.576,674.086515363665,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.384066473668427,0.253230599925736,39.8311770488071,0.120579717749507,17.3,6.5,78.7,4.779,3.721,1.931,19.728,12.576,674.086515363665,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.478928793356272,0.355857931279098,42.194324142495,0.120579717749507,10.9,3.6,78.7,2.574,2.05,0.968,19.728,12.576,674.086515363665,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.522617891037315,0.434586044780208,45.1704470453199,0.120579717749507,4.4,1.5,78.7,1.02,0.84,0.389,19.728,12.576,674.086515363665,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.605073633558848,0.475062981850527,44.3008335686777,0.120579717749507,0.7,0.2,78.7,0.36,0.3,0.129,19.728,12.576,674.086515363665,63.9,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0396186716058241,0.192704232151072,49.9775070648314,0.120210278011636,0,24,0.7,6.912,4.929,2.536,30,17.93,971.397379326363,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.0606213483509432,0.195520761363795,49.30639174779,0.120210278011636,0,22.5,0.7,6.456,5.098,2.67,30,17.93,971.397379326363,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.11367246150672,0.205716586899106,47.7960967536776,0.120210278011636,0.5,21.1,0.7,5.937,4.809,2.469,30,17.93,971.397379326363,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.145844822889245,0.206376533877812,46.5487991170989,0.120210278011636,6.8,17.5,0.7,5.625,4.575,2.425,30,17.93,971.397379326363,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.222030460515313,0.240288317290562,45.5360806168212,0.120210278011636,92.7,14.2,0.7,5.07,4.149,1.97,30,17.93,971.397379326363,0,1000
