"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Multicycle_Toxicity_Rule","Multicycle_Toxicity_Cutoff","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,1,0.07,0.05,0.1383,0.1272,42.0966,0.1269,NA,NA,2.4,5.2,5.094,4.512,0.859,29.508,18.937,0.1,0.1,4.9,1039.7074,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,2,0.14,0.25,0.1825,0.2353,46.8183,0.1269,NA,NA,7.9,47.8,10.296,8.775,4.758,29.508,18.937,0.1,0.1,4.9,1039.7074,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,3,0.31,0.25,0.2731,0.2458,43.8221,0.1269,NA,NA,40.2,28.7,7.929,7.154,2.519,29.508,18.937,0.1,0.1,4.9,1039.7074,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,4,0.41,0.25,0.3196,0.3086,45.7339,0.1269,NA,NA,34.4,11.5,4.563,4.315,1.855,29.508,18.937,0.1,0.1,4.9,1039.7074,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,5,0.52,0.25,0.4152,0.4103,48.0103,0.1269,NA,NA,15,1.9,1.626,1.549,0.58,29.508,18.937,0.1,0.1,4.9,1039.7074,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,1,0.01,0.05,0.0288,0.148,47.7284,0.1284,NA,NA,0,1.4,3.393,3.313,0.183,30,19.661,0,0,0,1085.7224,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,2,0.02,0.08,0.0459,0.1605,47.7929,0.1284,NA,NA,0,1.2,3.408,3.375,2.53,30,19.661,0,0,0,1085.7224,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,3,0.05,0.2,0.0915,0.2276,49.9939,0.1284,NA,NA,0,5.5,4.278,4.11,1.353,30,19.661,0,0,0,1085.7224,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,4,0.1,0.5,0.1203,0.4303,61.0037,0.1284,NA,NA,3.1,56,10.731,9.358,4.071,30,19.661,0,0,0,1085.7224,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,5,0.25,0.5,0.1909,0.4297,58.1486,0.1284,NA,NA,96.9,35.9,8.19,7.276,2.202,30,19.661,0,0,0,1085.7224,1000,1000
