"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Multicycle_Toxicity_Rule","Multicycle_Toxicity_Cutoff","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.3,0.05,0.3278,0.0825,31.8351,0.1283,NA,NA,58.9,8.9,10.857,8.192,3.018,19.095,12.401,8.9,9.1,80.9,680.0411,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.35,0.06,0.3813,0.2624,40.4899,0.1283,NA,NA,15.4,6,4.413,3.918,2.178,19.095,12.401,8.9,9.1,80.9,680.0411,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.4,0.07,0.4766,0.3567,42.3348,0.1283,NA,NA,12.9,3,2.469,2.195,0.912,19.095,12.401,8.9,9.1,80.9,680.0411,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.45,0.08,0.5205,0.4349,45.2705,0.1283,NA,NA,2.6,0.8,1.035,0.95,0.465,19.095,12.401,8.9,9.1,80.9,680.0411,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.5,0.09,0.6034,0.4789,44.6008,0.1283,NA,NA,1.3,0.4,0.321,0.281,0.121,19.095,12.401,8.9,9.1,80.9,680.0411,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.02,0.2,0.0404,0.1968,50.1935,0.1242,NA,NA,0,26.1,7.131,6.305,1.733,30,18.245,0,0,1,1001.6632,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.06,0.2,0.0616,0.1917,49.0385,0.1242,NA,NA,0,19.8,6.543,5.917,3.523,30,18.245,0,0,1,1001.6632,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.09,0.2,0.115,0.202,47.5185,0.1242,NA,NA,0.6,18,5.736,5.314,2.003,30,18.245,0,0,1,1001.6632,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.14,0.2,0.1472,0.2147,46.9946,0.1242,NA,NA,7.2,20.7,5.73,5.303,2.672,30,18.245,0,0,1,1001.6632,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.26,0.2,0.2233,0.2385,45.3778,0.1242,NA,NA,92.2,14.4,4.86,4.449,1.824,30,18.245,0,0,1,1001.6632,1000,1000
