"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0,0.5,1,0.07,0.07,0.0088,NA,NA,0,0.7,4.215,4.215,0,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0,0.5,2,0.12,0.12,0.0307,NA,NA,0,3.75,5.4225,5.4225,3.3845,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0,0.5,3,0.17,0.17,0.0729,NA,NA,0,14.55,6.4635,6.4635,1.2395,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0,0.5,4,0.22,0.22,0.148,NA,NA,0,31.05,6.6495,6.6495,2.9565,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0,0.5,5,0.3,0.3,0.2941,NA,NA,0,49.95,7.2495,7.2495,1.4695,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.1,0.5,1,0.07,0.07,0.0078,NA,NA,0.1,0.6629,4.207,4.207,0,30,20.7236,0,69.1761,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.1,0.5,2,0.12,0.12,0.0239,NA,NA,0.1,3.1617,5.2978,5.2978,3.3794,30,20.7236,0,69.1761,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.1,0.5,3,0.17,0.17,0.0638,NA,NA,0.1,12.5446,6.4238,6.4238,1.2667,30,20.7236,0,69.1761,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.1,0.5,4,0.22,0.22,0.1269,NA,NA,0.1,27.18,6.6119,6.6119,3.0189,30,20.7236,0,69.1761,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.1,0.5,5,0.3,0.3,0.2711,NA,NA,0.1,56.4508,7.4595,7.4595,1.6114,30,20.7236,0,69.1761,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.2,0.5,1,0.07,0.07,0.0051,NA,NA,0.2,0.4589,4.0923,4.0923,0,30,22.3661,0,72.4104,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.2,0.5,2,0.12,0.12,0.0182,NA,NA,0.2,1.8868,3.9118,3.9118,3.1805,30,22.3661,0,72.4104,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0,0.2,0.5,3,0.17,0.17,0.0551,NA,NA,0.2,8.669,6.1698,6.1698,0.3998,30,22.3661,0,72.4104,1961,1961
