"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
2,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,3,0.18,0.21,0.2328,NA,NA,NA,22.05,6.885,6.885,0.407,30,21.5355,0,70.6307,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,4,0.3,0.354,0.2777,NA,NA,NA,43.05,8.0175,8.0175,3.8585,30,21.5355,0,70.6307,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,5,0.4,0.49,0.3723,NA,NA,NA,32.85,7.479,7.479,0.9115,30,21.5355,0,70.6307,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,1,0.05,0.05,0.115,NA,NA,NA,0.05,3.765,3.765,0,30,21.3775,0,70.4052,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,2,0.1,0.13,0.1558,NA,NA,NA,2.55,4.0695,4.0695,3.3415,30,21.3775,0,70.4052,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,3,0.18,0.24,0.2422,NA,NA,NA,26.95,7.4865,7.4865,0.455,30,21.3775,0,70.4052,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,4,0.3,0.408,0.2876,NA,NA,NA,43.85,8.256,8.256,3.992,30,21.3775,0,70.4052,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.6,0,0.5,5,0.4,0.58,0.3827,NA,NA,NA,26.6,6.423,6.423,0.834,30,21.3775,0,70.4052,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,1,0.05,0.05,0.1217,NA,NA,NA,0.1,3.816,3.816,0,30,21.1845,0,69.9598,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,2,0.1,0.145,0.1636,NA,NA,NA,3.6,4.35,4.35,3.3945,30,21.1845,0,69.9598,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,3,0.18,0.27,0.2516,NA,NA,NA,31.8,8.1525,8.1525,0.5625,30,21.1845,0,69.9598,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,4,0.3,0.462,0.2975,NA,NA,NA,43.7,8.1975,8.1975,4.0825,30,21.1845,0,69.9598,2000,2000
2,"CRM","crm_fixed",NA,NA,"fixed",0.9,0,0.5,5,0.4,0.67,0.393,NA,NA,NA,20.8,5.484,5.484,0.776,30,21.1845,0,69.9598,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,1,0.15,0.15,0.1617,NA,NA,NA,4.9,6.6975,6.6975,0,29.7885,21.601,0.9,70.7,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,2,0.2,0.2,0.2089,NA,NA,NA,21.8,6.963,6.963,4.3495,29.7885,21.601,0.9,70.7,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,3,0.3,0.3,0.3028,NA,NA,NA,35.85,7.9485,7.9485,0.9795,29.7885,21.601,0.9,70.7,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,4,0.35,0.35,0.3501,NA,NA,NA,25.35,5.2245,5.2245,2.3995,29.7885,21.601,0.9,70.7,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,5,0.45,0.45,0.4454,NA,NA,NA,11.2,2.955,2.955,0.459,29.7885,21.601,0.9,70.7,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,1,0.15,0.15,0.174,NA,NA,NA,5.75,7.2255,7.2255,0,29.787,21.404,0.9,70.4501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,2,0.2,0.245,0.2227,NA,NA,NA,28.1,7.86,7.86,4.676,29.787,21.404,0.9,70.4501,2000,2000
3,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,3,0.3,0.36,0.3185,NA,NA,NA,37.75,8.0295,8.0295,1.083,29.787,21.404,0.9,70.4501,2000,2000
