"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce1",1.2,1,0.986797325669395,0.986797325669395,0,0.00316377904343186,1,100,35,100,100,0.3,1,0.675,0.675,0.353041512432886
"sce1",1.2,1,0.986797325669395,0.986797325669395,0,0.00316377904343186,2,100,38,100,100,0.35,1,0.69,0.69,0.383146009463653
"sce1",1.2,1,0.986797325669395,0.986797325669395,0,0.00316377904343186,3,100,39,100,100,0.4,1,0.695,0.695,0.39317544721404
"sce1",1.2,1,0.986797325669395,0.986797325669395,0,0.00316377904343186,4,100,33,100,100,0.45,1,0.665,0.665,0.332958328630556
"sce1",1.2,1,0.986797325669395,0.986797325669395,0,0.00316377904343186,5,100,54,100,100,0.5,1,0.77,0.77,0.543295792526915
"sce1",1.2,2,0.986839746835715,0.986839746835715,0,0.00317048938727405,1,100,22,100,100,0.3,1,0.61,0.61,0.222298697292539
"sce1",1.2,2,0.986839746835715,0.986839746835715,0,0.00317048938727405,2,100,34,100,100,0.35,1,0.67,0.67,0.342991506872906
"sce1",1.2,2,0.986839746835715,0.986839746835715,0,0.00317048938727405,3,100,38,100,100,0.4,1,0.69,0.69,0.383135787098532
"sce1",1.2,2,0.986839746835715,0.986839746835715,0,0.00317048938727405,4,100,49,100,100,0.45,1,0.745,0.745,0.493311556513083
"sce1",1.2,2,0.986839746835715,0.986839746835715,0,0.00317048938727405,5,100,52,100,100,0.5,1,0.76,0.76,0.523303641701431
"sce1",1.2,3,0.986765534373035,0.986765534373035,0,0.00315806983416653,1,100,31,100,100,0.3,1,0.655,0.655,0.312871294024032
"sce1",1.2,3,0.986765534373035,0.986765534373035,0,0.00315806983416653,2,100,37,100,100,0.35,1,0.685,0.685,0.373121462730006
"sce1",1.2,3,0.986765534373035,0.986765534373035,0,0.00315806983416653,3,100,42,100,100,0.4,1,0.71,0.71,0.423255518231088
"sce1",1.2,3,0.986765534373035,0.986765534373035,0,0.00315806983416653,4,100,39,100,100,0.45,1,0.695,0.695,0.393183177121122
"sce1",1.2,3,0.986765534373035,0.986765534373035,0,0.00315806983416653,5,100,53,100,100,0.5,1,0.765,0.765,0.533314398982858
"sce1",1.2,4,0.986798207978192,0.986798207978192,0,0.00316398594147477,1,100,22,100,100,0.3,1,0.61,0.61,0.222306082623291
"sce1",1.2,4,0.986798207978192,0.986798207978192,0,0.00316398594147477,2,100,35,100,100,0.35,1,0.675,0.675,0.353041306626477
"sce1",1.2,4,0.986798207978192,0.986798207978192,0,0.00316398594147477,3,100,44,100,100,0.4,1,0.72,0.72,0.44328210127027
"sce1",1.2,4,0.986798207978192,0.986798207978192,0,0.00316398594147477,4,100,48,100,100,0.45,1,0.74,0.74,0.48331941682029
"sce1",1.2,4,0.986798207978192,0.986798207978192,0,0.00316398594147477,5,100,50,100,100,0.5,1,0.75,0.75,0.503322085348797
"sce1",1.2,5,0.986633090387756,0.986633090387756,0,0.00312824270681803,1,100,27,100,100,0.3,1,0.635,0.635,0.272677008462902
"sce1",1.2,5,0.986633090387756,0.986633090387756,0,0.00312824270681803,2,100,39,100,100,0.35,1,0.695,0.695,0.393215384600787
"sce1",1.2,5,0.986633090387756,0.986633090387756,0,0.00312824270681803,3,100,42,100,100,0.4,1,0.71,0.71,0.423288417515292
"sce1",1.2,5,0.986633090387756,0.986633090387756,0,0.00312824270681803,4,100,47,100,100,0.45,1,0.735,0.735,0.473355862040914
"sce1",1.2,5,0.986633090387756,0.986633090387756,0,0.00312824270681803,5,100,59,100,100,0.5,1,0.795,0.795,0.593243144938994
"sce1",1.2,6,0.986744956903205,0.986744956903205,0,0.00315411165440817,1,100,28,100,100,0.3,1,0.64,0.64,0.282713747633265
"sce1",1.2,6,0.986744956903205,0.986744956903205,0,0.00315411165440817,2,100,30,100,100,0.35,1,0.65,0.65,0.302824530758169
"sce1",1.2,6,0.986744956903205,0.986744956903205,0,0.00315411165440817,3,100,45,100,100,0.4,1,0.725,0.725,0.453308841163583
"sce1",1.2,6,0.986744956903205,0.986744956903205,0,0.00315411165440817,4,100,46,100,100,0.45,1,0.73,0.73,0.463319540989769
"sce1",1.2,6,0.986744956903205,0.986744956903205,0,0.00315411165440817,5,100,55,100,100,0.5,1,0.775,0.775,0.553295624512405
"sce1",1.2,7,0.986828646118116,0.986828646118116,0,0.00316880436116246,1,100,26,100,100,0.3,1,0.63,0.63,0.262575377643616
"sce1",1.2,7,0.986828646118116,0.986828646118116,0,0.00316880436116246,2,100,34,100,100,0.35,1,0.67,0.67,0.342994062807778
"sce1",1.2,7,0.986828646118116,0.986828646118116,0,0.00316880436116246,3,100,43,100,100,0.4,1,0.715,0.715,0.433258491443918
"sce1",1.2,7,0.986828646118116,0.986828646118116,0,0.00316880436116246,4,100,48,100,100,0.45,1,0.74,0.74,0.483311708037606
"sce1",1.2,7,0.986828646118116,0.986828646118116,0,0.00316880436116246,5,100,45,100,100,0.5,1,0.725,0.725,0.453287773211405
"sce1",1.2,8,0.986722355999098,0.986722355999098,0,0.00314937786230563,1,100,29,100,100,0.3,1,0.645,0.645,0.292775302270279
"sce1",1.2,8,0.986722355999098,0.986722355999098,0,0.00314937786230563,2,100,38,100,100,0.35,1,0.69,0.69,0.383164076950568
"sce1",1.2,8,0.986722355999098,0.986722355999098,0,0.00314937786230563,3,100,40,100,100,0.4,1,0.7,0.7,0.403220568375454
"sce1",1.2,8,0.986722355999098,0.986722355999098,0,0.00314937786230563,4,100,48,100,100,0.45,1,0.74,0.74,0.483338628251467
"sce1",1.2,8,0.986722355999098,0.986722355999098,0,0.00314937786230563,5,100,51,100,100,0.5,1,0.755,0.755,0.513338621885505
"sce1",1.2,9,0.986808562116118,0.986808562116118,0,0.00316570027025623,1,100,26,100,100,0.3,1,0.63,0.63,0.262579368323835
"sce1",1.2,9,0.986808562116118,0.986808562116118,0,0.00316570027025623,2,100,30,100,100,0.35,1,0.65,0.65,0.302810779564621
"sce1",1.2,9,0.986808562116118,0.986808562116118,0,0.00316570027025623,3,100,44,100,100,0.4,1,0.72,0.72,0.4432795042792
"sce1",1.2,9,0.986808562116118,0.986808562116118,0,0.00316570027025623,4,100,45,100,100,0.45,1,0.725,0.725,0.453292828960712
"sce1",1.2,9,0.986808562116118,0.986808562116118,0,0.00316570027025623,5,100,53,100,100,0.5,1,0.765,0.765,0.5333035665511
