"scenario","alpha_true","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,2,28,4,15,9,0.12,0.472,0.302325581395349,0.148802570470097,0.143851290690129
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,3,25,1,18,11,0.18,0.508,0.27906976744186,0.099959588029067,0.0438462392856337
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,4,22,3,20,12,0.24,0.544,0.357142857142857,0.147571762863942,0.138535717671684
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,5,20,5,22,16,0.3,0.58,0.5,0.342821679290814,0.282517722246457
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,6,18,7,25,20,0.38,0.628,0.627906976744186,0.499971134306476,0.443373460551569
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,7,15,7,28,22,0.48,0.688,0.674418604651163,0.520895593725911,0.497272926448953
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,8,12,1,30,23,0.6,0.76,0.571428571428571,0.388053863934521,0.202843210376579
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,1,30,0,12,0,0.01,0.01,0,0,0
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,2,28,0,15,0,0.03,0.03,0,0,0
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,3,25,4,18,2,0.08,0.08,0.13953488372093,0.130742835260051,0.133473089320518
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,4,22,4,20,5,0.18,0.18,0.214285714285714,0.205846917771924,0.204475471867672
"steep_8dose",0,0.0230832057062573,0,0.0213667159416731,5,20,7,22,7,0.35,0.35,0.333333333333333,0.324894536819543,0.325732794486573
