"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
2177,31,6,"higher_gap_above_MTD",1,4,2,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,4,0.2,0.5,0.2575,0.5292,0.4519,0.174,NA,NA,46.4,22.8,8.01,7.46,2.042,29.97,21.436,0,0,0.2,1184.1231,1000,1000
2177,31,6,"higher_gap_above_MTD",1,4,2,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,5,0.6,0.5,0.3518,0.5292,0.4236,0.174,NA,NA,37.9,5,5.544,5.147,1.437,29.97,21.436,0,0,0.2,1184.1231,1000,1000
2178,32,1,"higher_gap_below_MTD",1,4,3,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,1,0.02,0.08,0.0885,0.2258,0.1992,0.1799,NA,NA,0.7,10.8,3.909,3.712,0.402,29.898,19.208,0,0,0.7,1056.6599,1000,1000
2178,32,1,"higher_gap_below_MTD",1,4,3,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,2,0.05,0.15,0.1241,0.2683,0.231,0.1799,NA,NA,0.9,15.9,4.392,4.209,2.881,29.898,19.208,0,0,0.7,1056.6599,1000,1000
2178,32,1,"higher_gap_below_MTD",1,4,3,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,3,0.11,0.3,0.2029,0.3407,0.2798,0.1799,NA,NA,10.4,34.5,7.875,7.043,2.514,29.898,19.208,0,0,0.7,1056.6599,1000,1000
2178,32,1,"higher_gap_below_MTD",1,4,3,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,4,0.3,0.3,0.2459,0.3654,0.2916,0.1799,NA,NA,43.7,29.7,7.659,7.048,2.842,29.898,19.208,0,0,0.7,1056.6599,1000,1000
2178,32,1,"higher_gap_below_MTD",1,4,3,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,5,0.36,0.3,0.3388,0.393,0.2913,0.1799,NA,NA,44.3,8.4,6.063,5.086,2.051,29.898,19.208,0,0,0.7,1056.6599,1000,1000
2179,33,2,"higher_gap_below_MTD",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,1,0.01,0.05,0.096,0.213,0.1843,0.1833,NA,NA,0,9.8,3.531,3.421,0.255,29.985,20.06,0,0,0.1,1105.0873,1000,1000
2179,33,2,"higher_gap_below_MTD",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,2,0.02,0.08,0.1333,0.2356,0.1957,0.1833,NA,NA,0.4,8.5,3.675,3.604,2.661,29.985,20.06,0,0,0.1,1105.0873,1000,1000
2179,33,2,"higher_gap_below_MTD",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_dose_specific","additive_dose_specific","previous_dose",0.15,0.85,"dose_specific_previous_dose_additive",1,1,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0.6,0.6,0.2,0.85,0,1,0,3,0.09,0.2,0.2148,0.2836,0.2192,0.1833,NA,NA,12.8,14.2,5.346,4.968,1.653,29.985,20.06,0,0,0.1,1105.0873,1000,1000
