"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
454,10,5,"five_scenarios_txt",1,2,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.43,0.5,0.5363,0.4962,0.3353,0.1361,NA,NA,4.6,1.8,1.023,1.023,0,21.633,21.633,3.3,3.3,46.9,1195.665,1000,1000
455,11,1,"five_scenarios_txt",1,2,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.22,0.2,0.2611,0.1992,0.1209,0.1384,NA,NA,48.8,59.3,16.95,16.95,0,27.393,27.393,3.7,3.7,16.1,1520.445,1000,1000
455,11,1,"five_scenarios_txt",1,2,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.32,0.2,0.3154,0.3221,0.2274,0.1384,NA,NA,32,19.6,5.844,5.844,0,27.393,27.393,3.7,3.7,16.1,1520.445,1000,1000
455,11,1,"five_scenarios_txt",1,2,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.44,0.2,0.4153,0.3779,0.2533,0.1384,NA,NA,13.3,4.3,3.507,3.507,0,27.393,27.393,3.7,3.7,16.1,1520.445,1000,1000
455,11,1,"five_scenarios_txt",1,2,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.59,0.2,0.4623,0.4556,0.317,0.1384,NA,NA,2.2,0.7,0.966,0.966,0,27.393,27.393,3.7,3.7,16.1,1520.445,1000,1000
455,11,1,"five_scenarios_txt",1,2,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,5,0.67,0.2,0.5524,0.4926,0.3269,0.1384,NA,NA,0,0,0.126,0.126,0,27.393,27.393,3.7,3.7,16.1,1520.445,1000,1000
456,12,2,"five_scenarios_txt",3,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,1,0.06,0.05,0.1086,0.1391,0.1065,0.1379,NA,NA,3.9,13,4.713,4.713,0,29.13,29.13,0.1,0.1,5.5,1614.2264,1000,1000
456,12,2,"five_scenarios_txt",3,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,2,0.09,0.1,0.1476,0.1809,0.1366,0.1379,NA,NA,2.5,13,4.689,4.689,0,29.13,29.13,0.1,0.1,5.5,1614.2264,1000,1000
456,12,2,"five_scenarios_txt",3,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,3,0.18,0.12,0.2312,0.1875,0.1181,0.1379,NA,NA,21.4,9.3,5.424,5.424,0,29.13,29.13,0.1,0.1,5.5,1614.2264,1000,1000
456,12,2,"five_scenarios_txt",3,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0.9,0.9,0.2,0.85,0,1,0,4,0.29,0.4,0.2757,0.4042,0.3214,0.1379,NA,NA,43.1,37.1,7.563,7.563,0,29.13,29.13,0.1,0.1,5.5,1614.2264,1000,1000
