"Plot_Alpha","Source_Alpha","Gap","Display_Method","Model","CRM_r_model","CFO_Method","Metric","Raw_Value","Plot_Value","Nmax_eff","n_scenarios_found","n_scenarios_paired_with_oracle"
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0476,0.0476,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0464,0.0464,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0459,0.0459,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0457,0.0457,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0465,0.0465,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","MCSE of MTD selection %",0.0477,0.0477,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0464,0.0464,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",-0.3843,-0.3843,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",0.0167,0.0167,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",2.3109,2.3109,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",0.0783,0.0783,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0.689,0.689,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",0.2221,0.2221,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",1.3051,1.3051,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",0.2555,0.2555,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",1.2489,1.2489,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",-0.2345,-0.2345,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",1.8782,1.8782,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",-0.1227,-0.1227,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Mean paired MTD selection difference vs oracle %",1.2871,1.2871,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",6.3443,6.3443,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",4.2558,4.2558,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",8.851,8.851,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",4.3987,4.3987,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",5.4606,5.4606,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",4.7615,4.7615,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",7.2769,7.2769,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",4.4924,4.4924,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",4.7917,4.7917,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",4.8575,4.8575,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",6.9639,6.9639,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",4.4662,4.4662,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","SD paired MTD selection difference vs oracle %",11.3986,11.3986,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Average MTD selection %",32.9182,32.9182,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",34.201,34.201,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",37.6517,37.6517,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Average MTD selection %",33.9491,33.9491,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",34.5191,34.5191,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Average MTD selection %",50.7401,50.7401,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",51.3123,51.3123,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",52.9696,52.9696,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Average MTD selection %",50.5386,50.5386,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",50.3331,50.3331,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Average MTD selection %",61.072,61.072,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",60.24,60.24,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",62.488,62.488,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Average MTD selection %",59.4252,59.4252,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD selection %",61.5709,61.5709,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",59.4232,59.4232,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Average MTD allocation",8.3216,27.7386666666667,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",8.5205,28.4016666666667,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",9.01,30.0333333333333,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Average MTD allocation",8.4045,28.015,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",8.4198,28.066,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Average MTD allocation",11.48,38.2666666666667,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",11.5383,38.461,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",11.6779,38.9263333333333,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Average MTD allocation",11.3158,37.7193333333333,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",11.159,37.1966666666667,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Average MTD allocation",13.4556,44.852,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",13.1972,43.9906666666667,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",13.3038,44.346,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Average MTD allocation",13.0288,43.4293333333333,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD allocation",12.9033,43.011,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",12.8756,42.9186666666667,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Average overdose selection %",13.375,13.375,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",18.5457,18.5457,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",29.8567,29.8567,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Average overdose selection %",18.2063,18.2063,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose selection %",25.2668,25.2668,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Average overdose selection %",13.8384,13.8384,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",19.2859,19.2859,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",27.1728,27.1728,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Average overdose selection %",18.1197,18.1197,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose selection %",23.819,23.819,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Average overdose selection %",13.306,13.306,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",18.0673,18.0673,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",22.3545,22.3545,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Average overdose selection %",16.7936,16.7936,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average overdose selection %",14.3588,14.3588,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose selection %",20.7364,20.7364,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Average overdose allocation",3.9358,13.1193333333333,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",4.9463,16.4876666666667,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",7.5295,25.0983333333333,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Average overdose allocation",5.0838,16.946,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose allocation",6.0891,20.297,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Average overdose allocation",4.5781,15.2603333333333,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",5.7886,19.2953333333333,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",7.7956,25.9853333333333,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Average overdose allocation",5.7387,19.129,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose allocation",6.5258,21.7526666666667,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Average overdose allocation",5.0087,16.6956666666667,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",6.1809,20.603,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",7.5303,25.101,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Average overdose allocation",6.0662,20.2206666666667,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average overdose allocation",7.7173,25.7243333333333,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average overdose allocation",6.5784,21.928,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Average total unique patients",22.0398,22.0398,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",21.9479,21.9479,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.4474,22.4474,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Average total unique patients",21.7947,21.7947,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average total unique patients",21.9033,21.9033,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Average total unique patients",21.9901,21.9901,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",22.0712,22.0712,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.6616,22.6616,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Average total unique patients",21.8832,21.8832,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average total unique patients",22.0211,22.0211,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Average total unique patients",22.1692,22.1692,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",22.2759,22.2759,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.858,22.858,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Average total unique patients",22.0851,22.0851,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average total unique patients",23.3206,23.3206,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average total unique patients",22.218,22.218,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Average trial duration",1208.6695,172.667071428571,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1203.643,171.949,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1231.4458,175.920828571429,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Average trial duration",1194.9924,170.7132,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average trial duration",1201.1582,171.594028571429,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Average trial duration",1205.9761,172.2823,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1209.7716,172.824514285714,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1243.4595,177.637071428571,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Average trial duration",1199.9306,171.418657142857,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average trial duration",1207.7772,172.5396,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Average trial duration",1216.1645,173.737785714286,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1222.0926,174.584657142857,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1254.6169,179.230985714286,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Average trial duration",1211.4768,173.068114285714,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average trial duration",1280.7151,182.9593,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average trial duration",1218.9829,174.140414285714,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0444,0.0444,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0457,0.0457,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0469,0.0469,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0456,0.0456,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0463,0.0463,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0478,0.0478,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0526,0.0526,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0473,0.0473,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0479,0.0479,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0476,0.0476,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0464,0.0464,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0459,0.0459,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0457,0.0457,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0467,0.0467,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","MCSE of MTD selection %",0.0534,0.0534,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0464,0.0464,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",-1.6009,-1.6009,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",-0.3181,-0.3181,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",3.1326,3.1326,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",-0.57,-0.57,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0.407,0.407,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",1.0486,1.0486,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",2.6365,2.6365,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",0.2055,0.2055,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",1.6488,1.6488,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Mean paired MTD selection difference vs oracle %",0.8175,0.8175,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"Mean paired MTD selection difference vs oracle %",3.0594,3.0594,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"Mean paired MTD selection difference vs oracle %",0.0019,0.0019,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Mean paired MTD selection difference vs oracle %",2.1803,2.1803,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Mean paired MTD selection difference vs oracle %",0,0,30,9980,9980
0.6,0.6,"0.05","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",11.0922,11.0922,30,10000,10000
0.6,0.6,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",6.5314,6.5314,30,10000,10000
0.6,0.6,"0.05","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",6.8217,6.8217,30,10000,10000
0.6,0.6,"0.05","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",7.4932,7.4932,30,10000,10000
0.6,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.6,0.6,"0.10","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",9.0778,9.0778,30,10000,10000
0.6,0.6,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",5.6473,5.6473,30,8130,8130
0.6,0.6,"0.10","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",6.4989,6.4989,30,10000,10000
0.6,0.6,"0.10","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",6.4332,6.4332,30,10000,10000
0.6,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,10000,10000
0.6,0.6,"0.15","CRM","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",7.3336,7.3336,30,9980,9980
0.6,0.6,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"SD paired MTD selection difference vs oracle %",5.3189,5.3189,30,10000,9980
0.6,0.6,"0.15","IPCRM","CRM","cumu_crm",NA,"SD paired MTD selection difference vs oracle %",6.6519,6.6519,30,10000,9980
0.6,0.6,"0.15","Discount CRM","CRM","random",NA,"SD paired MTD selection difference vs oracle %",5.7822,5.7822,30,9980,9980
0.6,0.6,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","SD paired MTD selection difference vs oracle %",13.3484,13.3484,30,7740,7720
0.6,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"SD paired MTD selection difference vs oracle %",0,0,30,9980,9980
0.9,0.9,"0.05","CRM","CRM","r_fixed",NA,"Average MTD selection %",30.9659,30.9659,30,10000,10000
0.9,0.9,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",33.2368,33.2368,30,10000,10000
0.9,0.9,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",37.906,37.906,30,10000,10000
0.9,0.9,"0.05","Discount CRM","CRM","random",NA,"Average MTD selection %",32.7298,32.7298,30,10000,10000
0.9,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",34.5191,34.5191,30,10000,10000
0.9,0.9,"0.10","CRM","CRM","r_fixed",NA,"Average MTD selection %",49.3405,49.3405,30,10000,10000
0.9,0.9,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",51.2679,51.2679,30,9280,9280
0.9,0.9,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",53.8764,53.8764,30,10000,10000
0.9,0.9,"0.10","Discount CRM","CRM","random",NA,"Average MTD selection %",49.5752,49.5752,30,10000,10000
0.9,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",50.3331,50.3331,30,10000,10000
0.9,0.9,"0.15","CRM","CRM","r_fixed",NA,"Average MTD selection %",60.7172,60.7172,30,9980,9980
0.9,0.9,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",60.8172,60.8172,30,10000,9980
0.9,0.9,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",63.0909,63.0909,30,10000,9980
0.9,0.9,"0.15","Discount CRM","CRM","random",NA,"Average MTD selection %",58.8831,58.8831,30,9980,9980
0.9,0.9,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD selection %",61.732,61.732,30,9910,9890
0.9,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD selection %",59.4232,59.4232,30,9980,9980
0.9,0.9,"0.05","CRM","CRM","r_fixed",NA,"Average MTD allocation",8.1357,27.119,30,10000,10000
0.9,0.9,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",8.4516,28.172,30,10000,10000
0.9,0.9,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",9.1029,30.343,30,10000,10000
0.9,0.9,"0.05","Discount CRM","CRM","random",NA,"Average MTD allocation",8.302,27.6733333333333,30,10000,10000
0.9,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",8.4198,28.066,30,10000,10000
0.9,0.9,"0.10","CRM","CRM","r_fixed",NA,"Average MTD allocation",11.4603,38.201,30,10000,10000
0.9,0.9,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",11.6489,38.8296666666667,30,9280,9280
0.9,0.9,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",11.9553,39.851,30,10000,10000
0.9,0.9,"0.10","Discount CRM","CRM","random",NA,"Average MTD allocation",11.3309,37.7696666666667,30,10000,10000
0.9,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average MTD allocation",11.159,37.1966666666667,30,10000,10000
0.9,0.9,"0.15","CRM","CRM","r_fixed",NA,"Average MTD allocation",13.6031,45.3436666666667,30,9980,9980
0.9,0.9,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",13.4497,44.8323333333333,30,10000,9980
0.9,0.9,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",13.601,45.3366666666667,30,10000,9980
0.9,0.9,"0.15","Discount CRM","CRM","random",NA,"Average MTD allocation",13.1313,43.771,30,9980,9980
