"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Multicycle_Toxicity_Rule","Multicycle_Toxicity_Cutoff","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
10,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.1,0.5,0.1173,0.4142,60.1605,0.1238,NA,NA,27.3,58.1,12.015,9.219,3.902,30,16.544,0,0,0.1,1151.1424,1000,1000
10,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.25,0.5,0.1868,0.4312,58.3976,0.1238,NA,NA,72.7,33.2,6.534,5.361,2.905,30,16.544,0,0,0.1,1151.1424,1000,1000
11,27,2,"higher_gap_above_MTD",1,3,3,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.11,0.1,0.1595,0.1405,42.0494,0.1165,NA,NA,3.1,10.1,6.981,5.388,1.914,29.25,16.523,0.8,0.8,6.4,1154.8239,1000,1000
11,27,2,"higher_gap_above_MTD",1,3,3,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.17,0.2,0.2063,0.2006,43.7818,0.1165,NA,NA,14.2,22.8,7.779,6.44,4.523,29.25,16.523,0.8,0.8,6.4,1154.8239,1000,1000
11,27,2,"higher_gap_above_MTD",1,3,3,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.3,0.4,0.3002,0.3559,49.342,0.1165,NA,NA,50.4,48.1,10.068,8.414,4.432,29.25,16.523,0.8,0.8,6.4,1154.8239,1000,1000
11,27,2,"higher_gap_above_MTD",1,3,3,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.5,0.42,0.3476,0.4238,51.5237,0.1165,NA,NA,27.4,11.4,3.798,3.478,1.536,29.25,16.523,0.8,0.8,6.4,1154.8239,1000,1000
11,27,2,"higher_gap_above_MTD",1,3,3,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.62,0.45,0.4433,0.4856,51.4055,0.1165,NA,NA,4.1,1.2,0.624,0.604,0.322,29.25,16.523,0.8,0.8,6.4,1154.8239,1000,1000
12,38,38,"user_added",1,5,5,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.05,0.05,0.0604,0.1265,45.1724,0.1149,NA,NA,0.5,4.2,4.662,4.042,0.902,29.889,15.501,0,0,3.6,1102.3432,1000,1000
12,38,38,"user_added",1,5,5,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.1,0.08,0.0883,0.1427,45.0286,0.1149,NA,NA,0.1,5.5,4.443,4.078,3.536,29.889,15.501,0,0,3.6,1102.3432,1000,1000
12,38,38,"user_added",1,5,5,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.12,0.12,0.1543,0.1589,43.3618,0.1149,NA,NA,2.1,8.2,4.932,4.453,3.318,29.889,15.501,0,0,3.6,1102.3432,1000,1000
12,38,38,"user_added",1,5,5,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.15,0.15,0.1922,0.1848,43.4006,0.1149,NA,NA,14.6,12.3,5.256,4.524,1.943,29.889,15.501,0,0,3.6,1102.3432,1000,1000
12,38,38,"user_added",1,5,5,0.3,"one_stage",30,30,30,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","ipde_first",0.0179,28,3,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.3,0.5,0.278,0.4543,56.1372,0.1149,NA,NA,82.7,66.2,10.596,8.539,4.689,29.889,15.501,0,0,3.6,1102.3432,1000,1000
