"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","Scenario_Group","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC27",27,2,"higher_gap_above_MTD",3,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.9,0,0.0714,28,30,2,1,1,0,4,0.5,0.77,0.498,NA,NA,0,3.3554,2.0056,2.0056,1.3371,29.8749,21.6706,0.5084,349.7972,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC27",27,2,"higher_gap_above_MTD",3,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0.9,0,0.0714,28,30,2,1,1,0,5,0.62,1,0.5554,NA,NA,0,0.0508,0.0976,0.0976,0.0651,29.8749,21.6706,0.5084,349.7972,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,1,0.2,0.2,0.1198,NA,NA,0,28.9273,11.6538,11.6538,0,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,2,0.3,0.3,0.2619,NA,NA,0,54.9568,12.5735,12.5735,4.907,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,3,0.5,0.5,0.426,NA,NA,0,11.9471,4.5328,4.5328,1.3991,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,4,0.6,0.6,0.5218,NA,NA,0,0.9151,0.5079,0.5079,0.3015,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,5,0.77,0.77,0.5997,NA,NA,0,0.0508,0.0229,0.0229,0.0122,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,1,0.2,0.2,0.1198,NA,NA,0,28.9273,11.6538,11.6538,0,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,2,0.3,0.3,0.2619,NA,NA,0,54.9568,12.5735,12.5735,4.907,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC28",28,3,"higher_gap_above_MTD",2,1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,NA,0,0,0.0714,28,30,2,1,1,0,3,0.5,0.5,0.426,NA,NA,0,11.9471,4.5328,4.5328,1.3991,29.2908,22.6711,3.2028,357.8554,1967,1967,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
