"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","prior_label","a_r","b_r","n_regular","n_ipde","true_ipde_probability"
4,0.37,0.279002768169502,0.459761167886458,"sce1",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.586
5,0.38,0.309557140310672,0.491851392710274,"sce1",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.602
1,0.2,0.217079224001353,0.217079224001353,"sce1",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.2
2,0.35,0.295943057927104,0.419590707378309,"sce1",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.47
3,0.36,0.316380452787064,0.467549801144508,"sce1",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.57
4,0.37,0.272040369110077,0.458386492053139,"sce1",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.586
5,0.38,0.327776900449434,0.511615734872295,"sce1",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.602
1,0.2,0.211631225025315,0.211631225025315,"sce1",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.2
2,0.35,0.362054806245414,0.442286797802521,"sce1",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.47
3,0.36,0.329678754562092,0.455407235189487,"sce1",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.57
4,0.37,0.365207304684663,0.509973008528543,"sce1",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.586
5,0.38,0.384649224394882,0.504675067997192,"sce1",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.602
1,0.2,0.254444416460165,0.254444416460165,"sce1",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.2
2,0.35,0.40757383293914,0.489720621838887,"sce1",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.47
3,0.36,0.437064370475904,0.534592677834483,"sce1",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.57
4,0.37,0.367853266587103,0.55993883694122,"sce1",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.586
5,0.38,0.422798936464801,0.577843201282956,"sce1",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.602
1,0.01,0.00448544254324438,0.00448544254324438,"sce2",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.028701857769346,0.0340352772443821,"sce2",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.056
3,0.3,0.242965827508005,0.255018931504166,"sce2",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.33
4,0.6,0.492104876941842,0.590198932570102,"sce2",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.78
5,0.6,0.438388689446233,0.732768086334085,"sce2",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.96
1,0.01,0.0195337652249522,0.0195337652249522,"sce2",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0731518645953341,0.0534642201473543,"sce2",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.056
3,0.3,0.253997148814366,0.272111607040956,"sce2",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.33
4,0.6,0.479031981481524,0.616971882036257,"sce2",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.78
5,0.6,0.479685517191177,0.735035334061198,"sce2",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.96
1,0.01,0.0486311021042689,0.0486311021042689,"sce2",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.117872802332666,0.110257365819164,"sce2",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.056
3,0.3,0.299403962335367,0.352239000051981,"sce2",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.33
4,0.6,0.512772103189111,0.662282952587976,"sce2",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.78
5,0.6,0.514936091660032,0.782195866354551,"sce2",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.96
1,0.01,0.0770649879008247,0.0770649879008247,"sce2",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.162726767929843,0.179505353119774,"sce2",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.056
3,0.3,0.334761716443957,0.377294824596326,"sce2",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.33
4,0.6,0.553938244534576,0.729994605070024,"sce2",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.78
5,0.6,0.550238098445227,0.84282400237742,"sce2",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.96
1,0.05,0.0550333750157033,0.0550333750157033,"sce3",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.05
2,0.1,0.083399926386022,0.10989240986186,"sce3",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.13
3,0.5,0.424070993947205,0.421241909788327,"sce3",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.56
4,0.68,0.504875672261145,0.744804565531785,"sce3",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.98
5,0.7,0.538972658823564,0.762423113790838,"sce3",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.99999999
1,0.05,0.0632234881729537,0.0632234881729537,"sce3",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
2,0.1,0.122037070741814,0.13817335708022,"sce3",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.13
3,0.5,0.386898289551571,0.494424078320607,"sce3",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.56
4,0.68,0.516445557383456,0.767662524094163,"sce3",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.98
5,0.7,0.584775571834775,0.787168440616194,"sce3",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.99999999
1,0.05,0.0825576595994376,0.0825576595994376,"sce3",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.05
2,0.1,0.13500906160152,0.197173304861626,"sce3",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.13
3,0.5,0.424200147476386,0.438253204424657,"sce3",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.56
4,0.68,0.595114161298755,0.810008397739247,"sce3",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.98
5,0.7,0.632508085366566,0.825107748070201,"sce3",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.99999999
1,0.05,0.117351552843812,0.117351552843812,"sce3",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.05
2,0.1,0.210141811787312,0.20988272212361,"sce3",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.13
3,0.5,0.467153150195039,0.532683511944447,"sce3",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.56
4,0.68,0.662750875521504,0.847481810170486,"sce3",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.98
5,0.7,0.657467404870188,0.875001928747266,"sce3",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.99999999
1,0.01,0.0135780333334556,0.0135780333334556,"sce4",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.0263653428994585,0.041852254367361,"sce4",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.056
3,0.1,0.0809165907678424,0.0754445955335694,"sce4",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.13
4,0.2,0.112406384631288,0.215935277099758,"sce4",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.26
5,0.4,0.289714540285818,0.390908091541108,"sce4",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.52
1,0.01,0.0184373084732143,0.0184373084732143,"sce4",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0659272782753396,0.069936880484527,"sce4",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.056
3,0.1,0.0933612245836923,0.133479472132613,"sce4",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.13
4,0.2,0.159288351270462,0.21076198175896,"sce4",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.26
5,0.4,0.339454819821485,0.453855897973871,"sce4",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.52
1,0.01,0.0508932998617482,0.0508932998617482,"sce4",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.104934807771839,0.141736113799807,"sce4",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.056
3,0.1,0.151593107699997,0.146797184399343,"sce4",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.13
4,0.2,0.247503927555071,0.247837762340584,"sce4",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.26
5,0.4,0.396684438908713,0.427770186903519,"sce4",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.52
1,0.01,0.0750184703824856,0.0750184703824856,"sce4",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.159935927752058,0.152745895541006,"sce4",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.056
3,0.1,0.220191753678271,0.232578194155331,"sce4",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.13
4,0.2,0.274976464844018,0.315391749293922,"sce4",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.26
5,0.4,0.434660999771354,0.484804154012355,"sce4",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.52
1,0.1,0.0952068277412038,0.0952068277412038,"sce5",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
2,0.2,0.15882630590693,0.230194855163086,"sce5",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.26
3,0.4,0.309158787858461,0.380260882151466,"sce5",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.52
4,0.45,0.334900440422136,0.53427972587021,"sce5",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.69
5,0.5,0.342691739358732,0.57256527430902,"sce5",0.6,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.77
1,0.1,0.102780843064465,0.102780843064465,"sce5",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
2,0.2,0.171399878826773,0.194919767822605,"sce5",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.26
3,0.4,0.367749419434803,0.428632753123377,"sce5",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.52
4,0.45,0.370496508162891,0.547003287314856,"sce5",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.69
5,0.5,0.419347409538253,0.601774591596338,"sce5",0.6,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.77
1,0.1,0.131507285345616,0.131507285345616,"sce5",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.1
2,0.2,0.227383842720261,0.259396934650509,"sce5",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.26
3,0.4,0.345105968367233,0.427307618977407,"sce5",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.52
4,0.45,0.415306295596489,0.565357973922298,"sce5",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.69
5,0.5,0.450423655181006,0.672829595697865,"sce5",0.6,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.77
1,0.1,0.172824027597137,0.172824027597137,"sce5",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.1
2,0.2,0.283232570701565,0.337571678217224,"sce5",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.26
3,0.4,0.424724472755021,0.515303273483438,"sce5",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.52
4,0.45,0.46463200611235,0.685268591837412,"sce5",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.69
5,0.5,0.506884357434514,0.701820413016847,"sce5",0.6,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.77
1,0.2,0.163908900634817,0.163908900634817,"sce1",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.2
2,0.35,0.256679200129348,0.434104686262604,"sce1",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.53
3,0.36,0.238779751072247,0.524911284190179,"sce1",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.675
4,0.37,0.312386274479312,0.53692181439579,"sce1",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.694
5,0.38,0.281973699046761,0.559855256259501,"sce1",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.713
1,0.2,0.192162272245394,0.192162272245394,"sce1",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.2
2,0.35,0.286854616055723,0.422963662685199,"sce1",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.53
3,0.36,0.284673392114756,0.557355260471307,"sce1",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.675
4,0.37,0.308393488094224,0.574184243953479,"sce1",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.694
5,0.38,0.30514593554605,0.564810598871263,"sce1",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.713
1,0.2,0.211324341756005,0.211324341756005,"sce1",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.2
2,0.35,0.359360961516659,0.479745384225707,"sce1",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.53
3,0.36,0.367504244099036,0.545815824540395,"sce1",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.675
4,0.37,0.347543727411756,0.587320403932091,"sce1",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.694
5,0.38,0.382052374873116,0.622380180356005,"sce1",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.713
1,0.2,0.255681638340452,0.255681638340452,"sce1",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.2
2,0.35,0.362707285849153,0.534535630084441,"sce1",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.53
3,0.36,0.404850754590218,0.627357133706057,"sce1",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.675
4,0.37,0.395041307553111,0.592423886786492,"sce1",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.694
5,0.38,0.399366521584891,0.702436506767327,"sce1",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.713
1,0.01,0.00760100088329326,0.00760100088329326,"sce2",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.0341085102096162,0.0366337472054269,"sce2",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.059
3,0.3,0.225278630577833,0.266697135571376,"sce2",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.345
4,0.6,0.453637885311848,0.649591567678226,"sce2",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.87
5,0.6,0.479222551850076,0.76229046457464,"sce2",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.99999999
1,0.01,0.0244017794111726,0.0244017794111726,"sce2",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0796942517139916,0.0752785685731826,"sce2",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.059
3,0.3,0.272479848101222,0.318489329578804,"sce2",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.345
4,0.6,0.468441800046404,0.727403286992418,"sce2",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.87
5,0.6,0.522254676816642,0.786880435202192,"sce2",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.99999999
1,0.01,0.0503028016525812,0.0503028016525812,"sce2",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.108510550206486,0.122272824468697,"sce2",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.059
3,0.3,0.311957437130212,0.365315910752538,"sce2",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.345
4,0.6,0.524653597805575,0.71779729642336,"sce2",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.87
5,0.6,0.527059011336704,0.825015527073325,"sce2",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.99999999
1,0.01,0.079998843182408,0.079998843182408,"sce2",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.165227965289731,0.167626122153867,"sce2",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.059
3,0.3,0.358307586006973,0.382455688144271,"sce2",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.345
4,0.6,0.562773869251531,0.787009350989683,"sce2",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.87
5,0.6,0.58757380439231,0.874994279406236,"sce2",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.99999999
1,0.05,0.0509504356468081,0.0509504356468081,"sce3",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.05
2,0.1,0.0784510674594671,0.104623406146559,"sce3",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.145
3,0.5,0.396119010868185,0.459192436419659,"sce3",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.59
4,0.68,0.539475043358102,0.762339108393576,"sce3",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.99999999
5,0.7,0.564826357227747,0.761934682078375,"sce3",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.99999999
1,0.05,0.0694490333341075,0.0694490333341075,"sce3",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
2,0.1,0.0944078535200913,0.152670038414912,"sce3",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.145
3,0.5,0.382565322207274,0.485907129156735,"sce3",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.59
4,0.68,0.562227294948266,0.787124866222927,"sce3",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.99999999
5,0.7,0.563607442315154,0.787553975668534,"sce3",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.99999999
1,0.05,0.0824540633107021,0.0824540633107021,"sce3",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.05
2,0.1,0.151068236693018,0.222915628832104,"sce3",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.145
3,0.5,0.444617556271277,0.517917839221894,"sce3",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.59
4,0.68,0.575429274696174,0.82482345037464,"sce3",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.99999999
5,0.7,0.631857756101049,0.825034235590537,"sce3",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.99999999
1,0.05,0.130089350318467,0.130089350318467,"sce3",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.05
2,0.1,0.205134475380381,0.255185291360367,"sce3",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.145
3,0.5,0.534980017310089,0.585049016868385,"sce3",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.59
4,0.68,0.65773089508638,0.875188682949394,"sce3",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.99999999
5,0.7,0.619844178180122,0.875166798809639,"sce3",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.99999999
1,0.01,0.00598439490165895,0.00598439490165895,"sce4",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.0390854943196595,0.0498107654598861,"sce4",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.059
3,0.1,0.0969218218991201,0.11448508174138,"sce4",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.145
4,0.2,0.135314896331131,0.235206852404815,"sce4",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.29
5,0.4,0.307538285841472,0.408784844541238,"sce4",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.58
1,0.01,0.0159291952635619,0.0159291952635619,"sce4",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.064088307535231,0.059650148156853,"sce4",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.059
3,0.1,0.1040030116868,0.155554307178519,"sce4",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.145
4,0.2,0.170642300477991,0.263895492861877,"sce4",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.29
5,0.4,0.307792039993981,0.471975059919357,"sce4",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.58
1,0.01,0.0463181379102962,0.0463181379102962,"sce4",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.114559774571113,0.121878857082976,"sce4",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.059
3,0.1,0.149048697785039,0.187287693332499,"sce4",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.145
4,0.2,0.252402628197792,0.282119829175315,"sce4",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.29
5,0.4,0.400346739119163,0.514869363497645,"sce4",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.58
1,0.01,0.0797961507047387,0.0797961507047387,"sce4",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.174776345280777,0.157922918745264,"sce4",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.059
3,0.1,0.207359672382183,0.229560034066381,"sce4",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.145
4,0.2,0.292619673012128,0.329408477969894,"sce4",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.29
5,0.4,0.437174338277789,0.547321484739162,"sce4",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.58
1,0.1,0.0952699062596719,0.0952699062596719,"sce5",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
2,0.2,0.169312476029923,0.237676985342921,"sce5",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.29
3,0.4,0.266796660625578,0.459787390107759,"sce5",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.58
4,0.45,0.360671011586562,0.612311132920238,"sce5",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.81
5,0.5,0.37328915604838,0.685061743968293,"sce5",0.9,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.905
1,0.1,0.108323245324131,0.108323245324131,"sce5",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
2,0.2,0.172098987259503,0.287349295824598,"sce5",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.29
3,0.4,0.310143663735634,0.454598773597124,"sce5",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.58
4,0.45,0.420041362130997,0.675464191914152,"sce5",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.81
5,0.5,0.407866921243208,0.717329018704847,"sce5",0.9,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.905
1,0.1,0.12798272927853,0.12798272927853,"sce5",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.1
2,0.2,0.211837470737572,0.300798204624736,"sce5",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.29
3,0.4,0.402273941456423,0.509283838419698,"sce5",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.58
4,0.45,0.464977636214421,0.687388074353735,"sce5",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.81
5,0.5,0.427201902949437,0.749969259588137,"sce5",0.9,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.905
1,0.1,0.137334161546079,0.137334161546079,"sce5",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.1
2,0.2,0.289615727690596,0.350476724755652,"sce5",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.29
3,0.4,0.440087827229634,0.579895587604959,"sce5",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.58
4,0.45,0.465689600065624,0.735326516083916,"sce5",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.81
5,0.5,0.500052451897533,0.814634270701715,"sce5",0.9,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.905
1,0.2,0.203007067506172,0.203007067506172,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,6,6,0.2
2,0.35,0.280925546726417,0.3092281941349,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,6,6,0.35
3,0.36,0.329869804358553,0.33548099209456,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,6,6,0.36
4,0.37,0.329909201965173,0.338300417968078,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,6,6,0.37
5,0.38,0.34510750706166,0.316789558828253,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,6,6,0.38
1,0.2,0.191088607706352,0.191088607706352,"sce1",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,6,6,0.2
