"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","prior_label","a_r","b_r","n_regular","n_ipde","true_ipde_probability"
2,0.1,0.0915336920294039,0.0703623883329261,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
3,0.5,0.391108981526615,0.410982165626412,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.5
4,0.68,0.514534009832768,0.511659855575961,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.68
5,0.7,0.512152312557703,0.531706251593768,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.7
1,0.05,0.0609216946684916,0.0609216946684916,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
2,0.1,0.0853404577634191,0.0831449118985959,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
3,0.5,0.406823834883924,0.41923397293012,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.5
4,0.68,0.531259889298768,0.573769914875793,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.68
5,0.7,0.533580555461761,0.561975657050075,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.7
1,0.05,0.0914532689910877,0.0914532689910877,"sce3",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.05
2,0.1,0.132369727297938,0.162394546176102,"sce3",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.1
3,0.5,0.475195797044296,0.427121295468039,"sce3",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.5
4,0.68,0.602331861563999,0.605346191567368,"sce3",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.68
5,0.7,0.590279936215006,0.589621509223212,"sce3",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.7
1,0.05,0.119760939488551,0.119760939488551,"sce3",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.05
2,0.1,0.194855499407625,0.184881744858936,"sce3",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.1
3,0.5,0.507385694822909,0.520480665467666,"sce3",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.5
4,0.68,0.637611702282949,0.604239137768668,"sce3",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.68
5,0.7,0.649912360744781,0.65185297285719,"sce3",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.7
1,0.01,0.0162897994963458,0.0162897994963458,"sce4",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.0472860194301934,0.0287115680695593,"sce4",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.05
3,0.1,0.102169366257575,0.0575751395956371,"sce4",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
4,0.2,0.163716150984738,0.134962544113209,"sce4",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.2
5,0.4,0.2837719121354,0.317262118753312,"sce4",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.4
1,0.01,0.0234421570822497,0.0234421570822497,"sce4",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0507477131135538,0.0520781132284622,"sce4",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
3,0.1,0.0745465119062567,0.102962578281143,"sce4",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
4,0.2,0.17896599236093,0.199813522416199,"sce4",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.2
5,0.4,0.304346978348241,0.350622775609456,"sce4",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.4
1,0.01,0.0528506339628936,0.0528506339628936,"sce4",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.112600964315766,0.117287548448925,"sce4",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.05
3,0.1,0.139782014527976,0.147844770662635,"sce4",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.1
4,0.2,0.254027412015467,0.210443687237257,"sce4",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.2
5,0.4,0.399269938138333,0.392443215938926,"sce4",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.4
1,0.01,0.0805817068092577,0.0805817068092577,"sce4",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.175300745583813,0.164197080699253,"sce4",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.05
3,0.1,0.214846546441715,0.174706901700406,"sce4",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.1
4,0.2,0.292523702494706,0.262111255736224,"sce4",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.2
5,0.4,0.425100489855149,0.407490805704834,"sce4",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.4
1,0.1,0.0775191330567368,0.0775191330567368,"sce5",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
2,0.2,0.153477605573343,0.163910000397702,"sce5",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.2
3,0.4,0.315246569034132,0.312404877176833,"sce5",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.4
4,0.45,0.355189520299147,0.357607174591462,"sce5",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.45
5,0.5,0.359740326569672,0.388082104496501,"sce5",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.5
1,0.1,0.0936217034931779,0.0936217034931779,"sce5",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
